Rollouts,Reward,Samples,Timesteps,Alpha
200,35.0,100,7878,1
400,89.0,100,14958,1
600,101.0,100,35235,1
800,168.0,100,55876,1
1000,156.0,100,86652,1
1200,109.0,100,117148,1
1400,267.0,100,142127,1
1600,78.0,100,196696,1
1800,114.0,100,212403,1
2000,142.0,100,236315,1
2200,184.0,100,267039,1
2400,152.0,100,306626,1
2600,184.0,100,339550,1
2800,192.0,100,377775,1
3000,273.0,100,417495,1
3200,400.0,100,479137,1
3400,237.0,100,566994,1
3600,290.0,100,616139,1
3800,1000.0,100,678264,1
4000,1000.0,100,850139,1
4200,1000.0,100,1023351,1
4400,1000.0,100,1200616,1
4600,1000.0,100,1377343,1
4800,1000.0,100,1554967,1
5000,1000.0,100,1737404,1
5200,1000.0,100,1915740,1
5400,1000.0,100,2090549,1
5600,1000.0,100,2268835,1
5800,940.0,100,2448280,1
6000,1000.0,100,2602747,1
6200,1000.0,100,2776922,1
6400,1000.0,100,2952619,1
6600,1000.0,100,3126195,1
6800,1000.0,100,3302093,1
7000,1000.0,100,3478907,1
7200,1000.0,100,3658039,1
7400,1000.0,100,3835027,1
7600,1000.0,100,4011297,1
7800,1000.0,100,4189824,1
8000,1000.0,100,4374529,1
8200,1000.0,100,4559917,1
8400,1000.0,100,4744418,1
8600,1000.0,100,4929226,1
8800,1000.0,100,5113697,1
9000,1000.0,100,5296645,1
9200,1000.0,100,5467864,1
9400,1000.0,100,5638340,1
9600,1000.0,100,5804193,1
9800,1000.0,100,5972839,1
10000,1000.0,100,6146833,1
10200,1000.0,100,6316815,1
10400,1000.0,100,6486990,1
10600,1000.0,100,6664583,1
10800,1000.0,100,6841023,1
11000,1000.0,100,7015754,1
11200,1000.0,100,7191229,1
11400,1000.0,100,7369266,1
11600,1000.0,100,7549123,1
11800,1000.0,100,7726109,1
12000,1000.0,100,7906688,1
12200,1000.0,100,8087694,1
12400,1000.0,100,8268616,1
12600,1000.0,100,8452606,1
12800,1000.0,100,8636447,1
13000,1000.0,100,8819547,1
13200,1000.0,100,8999291,1
13400,1000.0,100,9188031,1
13600,1000.0,100,9369033,1
13800,1000.0,100,9556459,1
14000,1000.0,100,9735282,1
14200,1000.0,100,9918368,1
14400,1000.0,100,10096211,1
14600,1000.0,100,10280253,1
14800,1000.0,100,10467125,1
15000,1000.0,100,10645992,1
