Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
408,0.05,-439.4792222738673,204,408000,1.0
816,0.05,-421.121148728145,204,816000,1.0
1224,0.05,-470.40379862942996,204,1224000,1.0
1632,0.05,-204.31802235836983,204,1632000,1.0
2040,0.05,-90.02058867450022,204,2040000,1.0
2448,0.05,-22.102032096969253,204,2448000,1.0
2856,0.05,28.919761063201705,204,2856000,1.0
3264,0.05,-174.2932368780465,204,3264000,1.0
3672,0.05,-153.4910411636079,204,3672000,1.0
4080,0.05,-1.7955021074836879,204,4080000,1.0
4488,0.05,18.718981681714464,204,4488000,1.0
4896,0.05,64.60750771630299,204,4896000,1.0
5304,0.05,203.5412064985245,204,5304000,1.0
5712,0.05,112.4554890056206,204,5712000,1.0
6120,0.05,166.584790263331,204,6120000,1.0
6528,0.05,208.19930067245014,204,6528000,1.0
6936,0.05,294.1810845796451,204,6936000,1.0
7344,0.05,190.43160725733628,204,7344000,1.0
7752,0.05,478.4755664436261,204,7752000,1.0
8160,0.05,345.19521456893654,204,8160000,1.0
8568,0.05,399.2957828267249,204,8568000,1.0
8976,0.05,381.6891567670775,204,8976000,1.0
9384,0.05,448.8724815839336,204,9384000,1.0
9792,0.05,381.2822679377501,204,9792000,1.0
10200,0.05,522.7863332457723,204,10200000,1.0
10608,0.05,201.21507203946388,204,10608000,1.0
11016,0.05,474.22527399460193,204,11016000,1.0
11424,0.05,605.4009194485186,204,11424000,1.0
11832,0.05,501.0976886320301,204,11832000,1.0
12240,0.05,537.8503896846921,204,12240000,1.0
12648,0.05,570.2713743378883,204,12648000,1.0
13056,0.05,555.4598706154335,204,13056000,1.0
13464,0.05,410.5782441426638,204,13464000,1.0
13872,0.05,492.80429491438616,204,13872000,1.0
14280,0.05,498.40555793890167,204,14280000,1.0
14688,0.05,589.4373403748965,204,14688000,1.0
15096,0.05,397.9515855787681,204,15096000,1.0
15504,0.05,465.5071923254571,204,15504000,1.0
15912,0.05,462.86749736717456,204,15912000,1.0
16320,0.05,498.04530466929907,204,16320000,1.0
16728,0.05,576.5871599703509,204,16728000,1.0
17136,0.05,547.606459043834,204,17136000,1.0
17544,0.05,514.2747828121358,204,17544000,1.0
17952,0.05,515.1695350271423,204,17952000,1.0
18360,0.05,649.7217351986991,204,18360000,1.0
18768,0.05,513.1744248868353,204,18768000,1.0
19176,0.05,420.10234063933416,204,19176000,1.0
19584,0.05,557.4314779723176,204,19584000,1.0
19992,0.05,518.7455436149396,204,19992000,1.0
20400,0.05,574.088621252517,204,20400000,1.0
20808,0.05,573.9373138528949,204,20808000,1.0
21216,0.05,478.0669466925033,204,21216000,1.0
