Rollouts,Learning Rate,Reward,Samples,Timesteps
0,6.776263578034403e-21,-252.96704865935874,0,0
408,6.776263578034403e-21,-251.79883268411356,204,412000
816,6.776263578034403e-21,-235.18011450285627,204,825000
1224,6.776263578034403e-21,-109.81706978415227,204,1238000
1632,6.776263578034403e-21,-75.95287134798001,204,1652000
2040,6.776263578034403e-21,323.19270706485497,204,2063000
2448,6.776263578034403e-21,335.43616034306314,204,2475000
2856,6.776263578034403e-21,380.183269699938,204,2893000
3264,6.776263578034403e-21,691.844926661535,204,3305000
3672,6.776263578034403e-21,729.2501720596657,204,3715000
4080,6.776263578034403e-21,827.8292176175901,204,4128000
4488,6.776263578034403e-21,642.8474627988529,204,4605000
4896,6.776263578034403e-21,710.6096712734314,204,5017000
5304,6.776263578034403e-21,735.50073413023,204,5428000
5712,6.776263578034403e-21,753.6594602914199,204,5841000
6120,6.776263578034403e-21,786.7516171360728,204,6253000
6528,6.776263578034403e-21,812.4797178970281,204,6668000
6936,6.776263578034403e-21,833.8272815159087,204,7091000
7344,6.776263578034403e-21,835.5097772364778,204,7504000
7752,6.776263578034403e-21,744.2836332966866,204,7981000
8160,6.776263578034403e-21,770.0235236955639,204,8396000
8568,6.776263578034403e-21,850.8679457786844,204,8816000
8976,6.776263578034403e-21,852.1391255386502,204,9246000
9384,6.776263578034403e-21,595.5694142849126,204,9723000
9792,6.776263578034403e-21,794.8945874555891,204,10135000
10200,6.776263578034403e-21,802.3092949335752,204,10556000
10608,6.776263578034403e-21,817.8457963529452,204,10996000
11016,6.776263578034403e-21,822.6872318338341,204,11455000
11424,6.776263578034403e-21,877.3939599740404,204,11881000
11832,6.776263578034403e-21,657.9770717724083,204,12358000
12240,6.776263578034403e-21,693.4067356520113,204,12771000
12648,6.776263578034403e-21,708.0782107302784,204,13184000
13056,6.776263578034403e-21,759.348158196691,204,13604000
13464,6.776263578034403e-21,790.3058482695219,204,14020000
13872,6.776263578034403e-21,561.9235680569558,204,14497000
14280,6.776263578034403e-21,783.1275684305415,204,14908000
14688,6.776263578034403e-21,809.07959857204,204,15338000
15096,6.776263578034403e-21,848.6831689529912,204,15760000
15504,6.776263578034403e-21,620.6001536325305,204,16237000
15912,6.776263578034403e-21,644.6441689958733,204,16648000
16320,6.776263578034403e-21,701.4854192119105,204,17063000
16728,6.776263578034403e-21,789.7550301213357,204,17487000
17136,6.776263578034403e-21,891.8895834495336,204,17941000
17544,6.776263578034403e-21,637.3559154502251,204,18418000
17952,6.776263578034403e-21,647.6385698258325,204,18833000
18360,6.776263578034403e-21,720.3117893326166,204,19246000
18768,6.776263578034403e-21,810.1858692641799,204,19673000
19176,6.776263578034403e-21,709.0734117872897,204,20150000
19584,6.776263578034403e-21,788.5762392575276,204,20570000
19992,6.776263578034403e-21,817.1205836689811,204,21003000
20400,6.776263578034403e-21,710.4757315208443,204,21480000
20808,6.776263578034403e-21,712.2412991469783,204,21898000
21216,6.776263578034403e-21,754.2947393328093,204,22311000
21624,6.776263578034403e-21,765.7855650915271,204,22749000
22032,6.776263578034403e-21,767.3945419709321,204,23177000
22440,6.776263578034403e-21,774.4401384013358,204,23608000
22848,6.776263578034403e-21,838.0745450317388,204,24034000
23256,6.776263578034403e-21,698.9718631731324,204,24511000
23664,6.776263578034403e-21,732.8240762961209,204,24921000
24072,6.776263578034403e-21,738.0818798562029,204,25354000
24480,6.776263578034403e-21,739.8747639270865,204,25778000
24888,6.776263578034403e-21,768.6771220514343,204,26207000
25296,6.776263578034403e-21,790.9787367026372,204,26658000
25704,6.776263578034403e-21,798.5423292328396,204,27085000
26112,6.776263578034403e-21,-291.70696823353273,204,27562000
26520,6.776263578034403e-21,80.36936216659478,204,27974000
26928,6.776263578034403e-21,308.45425440353426,204,28385000
27336,6.776263578034403e-21,347.4030262359111,204,28797000
27744,6.776263578034403e-21,482.8014309246145,204,29207000
28152,6.776263578034403e-21,626.9753176402847,204,29617000
28560,6.776263578034403e-21,662.4800445540412,204,30035000
28968,6.776263578034403e-21,309.9425030563633,204,30512000
29376,6.776263578034403e-21,667.5728440637024,204,30923000
29784,6.776263578034403e-21,671.9715968639852,204,31336000
30192,6.776263578034403e-21,689.1590381051071,204,31747000
30600,6.776263578034403e-21,714.727440450575,204,32161000
31008,6.776263578034403e-21,757.4545166358229,204,32589000
31416,6.776263578034403e-21,769.401461599004,204,33024000
31824,6.776263578034403e-21,826.21675254621,204,33462000
32232,6.776263578034403e-21,768.8696308785557,204,33939000
32640,6.776263578034403e-21,808.153831908155,204,34377000
33048,6.776263578034403e-21,818.7831500295189,204,34832000
33456,6.776263578034403e-21,763.5483625222006,204,35309000
33864,6.776263578034403e-21,801.0830142959717,204,35725000
34272,6.776263578034403e-21,824.0818931637956,204,36155000
34680,6.776263578034403e-21,675.4623044669046,204,36632000
35088,6.776263578034403e-21,711.1180067659045,204,37043000
35496,6.776263578034403e-21,754.1611780458959,204,37458000
35904,6.776263578034403e-21,782.5014464418166,204,37885000
36312,6.776263578034403e-21,782.7657508843903,204,38308000
36720,6.776263578034403e-21,598.2740286724328,204,38785000
37128,6.776263578034403e-21,756.7103504112971,204,39196000
37536,6.776263578034403e-21,785.6942461993357,204,39625000
37944,6.776263578034403e-21,809.9235615768365,204,40061000
38352,6.776263578034403e-21,691.9992593267433,204,40538000
38760,6.776263578034403e-21,711.7994792664649,204,40952000
39168,6.776263578034403e-21,769.5919667594512,204,41372000
39576,6.776263578034403e-21,794.130130306167,204,41810000
39984,6.776263578034403e-21,865.9068193577413,204,42247000
40392,6.776263578034403e-21,604.5393258067431,204,42724000
40800,6.776263578034403e-21,710.5938022025899,204,43136000
41208,6.776263578034403e-21,786.9415860636876,204,43566000
41616,6.776263578034403e-21,590.5346404017387,204,44043000
