Rollouts,Learning Rate,Reward,Samples,Timesteps
0,6.776263578034403e-21,-675.8010651697858,0,0
408,6.776263578034403e-21,-596.4017347110242,204,410000
816,6.776263578034403e-21,-571.0727789082033,204,821000
1224,6.776263578034403e-21,-373.0957204867418,204,1233000
1632,6.776263578034403e-21,-346.60000333029166,204,1645000
2040,6.776263578034403e-21,-170.98442136940722,204,2056000
2448,6.776263578034403e-21,-31.05507578461596,204,2466000
2856,6.776263578034403e-21,70.72521441146404,204,2878000
3264,6.776263578034403e-21,193.20022457975472,204,3289000
3672,6.776263578034403e-21,265.9063657140036,204,3705000
4080,6.776263578034403e-21,270.6734262692267,204,4119000
4488,6.776263578034403e-21,332.9717792337149,204,4531000
4896,6.776263578034403e-21,362.45028741889735,204,4943000
5304,6.776263578034403e-21,429.8921089093974,204,5372000
5712,6.776263578034403e-21,436.92075104920485,204,5825000
6120,6.776263578034403e-21,470.7820369783565,204,6289000
6528,6.776263578034403e-21,354.72039473806814,204,6766000
6936,6.776263578034403e-21,371.9425476475097,204,7201000
7344,6.776263578034403e-21,313.6577257051037,204,7678000
7752,6.776263578034403e-21,321.00771062441925,204,8103000
8160,6.776263578034403e-21,337.60055121983714,204,8531000
8568,6.776263578034403e-21,340.65345722494885,204,8949000
8976,6.776263578034403e-21,354.5649165788473,204,9366000
9384,6.776263578034403e-21,388.36111322164845,204,9779000
9792,6.776263578034403e-21,408.63026813682933,204,10227000
10200,6.776263578034403e-21,371.55221963242644,204,10704000
