Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
464,0.05,-11.028601821853327,232,464000,1
928,0.05,-1.2030938439808163,232,928000,1
1392,0.05,-1.886142401515791,232,1392000,1
1856,0.05,-2.1044294143865825,232,1856000,1
2320,0.05,284.6018381177023,232,2320000,1
2784,0.05,697.2455423662933,232,2784000,1
3248,0.05,568.649926770541,232,3248000,1
3712,0.05,638.010324176608,232,3712000,1
4176,0.05,656.2696343717383,232,4176000,1
4640,0.05,1206.805610189628,232,4640000,1
5104,0.05,1021.4734080132674,232,5104000,1
5568,0.05,1044.1253269785043,232,5568000,1
6032,0.05,1116.4835502924893,232,6032000,1
6496,0.05,956.1789812606975,232,6496000,1
6960,0.05,1068.5055923817629,232,6960000,1
7424,0.05,1119.4247729442388,232,7424000,1
7888,0.05,1203.4418757505316,232,7888000,1
8352,0.05,1241.9966171406188,232,8352000,1
8816,0.05,1215.2128245541983,232,8816000,1
