Rollouts,Learning Rate,Reward,Samples,Timesteps
0,0.05,-284.4972220007118,0,0
464,0.05,-2.4619512055173147,232,466000
928,0.05,-1.8565268567155275,232,932000
1392,0.05,-1.5173453806700754,232,1398000
1856,0.05,-1.2770963985245039,232,1864000
2320,0.05,-1.0128318944615993,232,2330000
2784,0.05,-0.9769113451046787,232,2796000
3248,0.05,-1.0277365403503527,232,3262000
3712,0.05,-1.1697551562791653,232,3728000
4176,0.05,-1.1827656526608314,232,4194000
4640,0.05,-1.25007017745388,232,4660000
5104,0.05,-1.4338354923367511,232,5126000
5568,0.05,-1.3868191988302174,232,5592000
6032,0.05,5.217788005696415,232,6058000
6496,0.05,426.20690758697793,232,6524000
6960,0.05,-374.03187763119956,232,6990000
7424,0.05,-37.46694480841508,232,7456000
7888,0.05,377.6389998194556,232,7922000
8352,0.05,191.8757162626065,232,8388000
8816,0.05,-266.958850347583,232,8854000
9280,0.05,318.2085978312587,232,9320000
9744,0.05,76.55647456586193,232,9786000
10208,0.05,-499.6402980575097,232,10252000
10672,0.05,1266.8098093935353,232,10718000
11136,0.05,-47.515055206171255,232,11184000
