Rollouts,Learning Rate,Reward,Samples,Timesteps
0,8.881784197001252e-16,-454.3039101703335,0,0
464,8.881784197001252e-16,168.45768729911907,232,466000
928,8.881784197001252e-16,306.3972699426087,232,932000
1392,8.881784197001252e-16,314.80428799917775,232,1399000
1856,8.881784197001252e-16,404.48245595904524,232,1865000
2320,8.881784197001252e-16,405.10695746110696,232,2352000
2784,8.881784197001252e-16,452.3915905503801,232,2819000
3248,8.881784197001252e-16,476.91609478615345,232,3295000
3712,8.881784197001252e-16,490.15594077042,232,3776000
4176,8.881784197001252e-16,514.3183118576,232,4244000
4640,8.881784197001252e-16,363.0429404417306,232,4744000
5104,8.881784197001252e-16,402.5567048890448,232,5215000
5568,8.881784197001252e-16,407.6340202506021,232,5681000
6032,8.881784197001252e-16,488.26467999151924,232,6153000
6496,8.881784197001252e-16,536.1947599299161,232,6639000
6960,8.881784197001252e-16,544.9480924396594,232,7113000
7424,8.881784197001252e-16,626.5071550479479,232,7588000
7888,8.881784197001252e-16,383.2973686586362,232,8088000
8352,8.881784197001252e-16,384.79692892352887,232,8559000
8816,8.881784197001252e-16,394.8001954577937,232,9026000
9280,8.881784197001252e-16,416.0263771043691,232,9495000
9744,8.881784197001252e-16,486.49337133634793,232,9963000
10208,8.881784197001252e-16,585.065165078694,232,10430000
10672,8.881784197001252e-16,263.59704374514894,232,10930000
11136,8.881784197001252e-16,286.9736997664189,232,11398000
11600,8.881784197001252e-16,407.91132717297177,232,11864000
12064,8.881784197001252e-16,420.75408358863814,232,12335000
12528,8.881784197001252e-16,450.85761940294975,232,12804000
12992,8.881784197001252e-16,467.5341568925621,232,13281000
13456,8.881784197001252e-16,512.7642606866483,232,13770000
13920,8.881784197001252e-16,454.66929057253463,232,14270000
14384,8.881784197001252e-16,500.88442241393335,232,14737000
14848,8.881784197001252e-16,417.8424124772893,232,15237000
15312,8.881784197001252e-16,461.56246159070116,232,15704000
15776,8.881784197001252e-16,469.881830444699,232,16174000
16240,8.881784197001252e-16,496.0856882880378,232,16650000
16704,8.881784197001252e-16,340.65129360165633,232,17150000
17168,8.881784197001252e-16,437.6408323851792,232,17617000
17632,8.881784197001252e-16,549.6150411352522,232,18095000
18096,8.881784197001252e-16,573.1565877534358,232,18565000
18560,8.881784197001252e-16,281.28708827661416,232,19065000
19024,8.881784197001252e-16,303.3891995406404,232,19532000
19488,8.881784197001252e-16,584.1421534762318,232,19998000
19952,8.881784197001252e-16,421.575740359108,232,20498000
20416,8.881784197001252e-16,464.09531124007674,232,20967000
20880,8.881784197001252e-16,563.9353087820396,232,21437000
21344,8.881784197001252e-16,566.4760720078931,232,21906000
21808,8.881784197001252e-16,576.5754275595419,232,22375000
22272,8.881784197001252e-16,576.5754275595419,232,22869000
22736,8.881784197001252e-16,576.5754275595419,232,23362000
23200,8.881784197001252e-16,576.5754275595419,232,23853000
23664,8.881784197001252e-16,576.5754275595419,232,24346000
24128,8.881784197001252e-16,440.8601665972157,232,24846000
24592,8.881784197001252e-16,515.21071493364,232,25315000
25056,8.881784197001252e-16,561.1199160072281,232,25794000
25520,8.881784197001252e-16,252.8272455619291,232,26294000
25984,8.881784197001252e-16,401.8644037681253,232,26760000
26448,8.881784197001252e-16,422.83096013160065,232,27227000
26912,8.881784197001252e-16,470.36566759734325,232,27701000
27376,8.881784197001252e-16,507.71616042381754,232,28180000
27840,8.881784197001252e-16,273.11085286952,232,28680000
28304,8.881784197001252e-16,457.1697738259273,232,29147000
28768,8.881784197001252e-16,457.1697738259273,232,29639000
29232,8.881784197001252e-16,514.5007674330326,232,30113000
