Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
50,0.05,44.12047304544215,25,999,1.0
100,0.05,42.66777205881553,25,2062,1.0
150,0.05,64.0239883919551,25,3636,1.0
200,0.05,62.71622881744388,25,5130,1.0
250,0.05,72.85762917839973,25,6804,1.0
300,0.05,114.03024572343028,25,8601,1.0
350,0.05,111.7457043118994,25,10842,1.0
400,0.05,152.61629308077474,25,12978,1.0
450,0.05,164.20474104986155,25,15114,1.0
500,0.05,55.434757651202645,25,17573,1.0
550,0.05,57.23321978536396,25,20199,1.0
600,0.05,58.673375921948534,25,22911,1.0
650,0.05,60.38501270641894,25,25726,1.0
700,0.05,60.167220324875224,25,28587,1.0
750,0.05,62.364130136553946,25,31495,1.0
800,0.05,64.64432767839553,25,34794,1.0
850,0.05,210.7508198691809,25,38303,1.0
900,0.05,206.9511143039244,25,41719,1.0
950,0.05,206.71289957932126,25,45281,1.0
1000,0.05,206.8127970312781,25,49330,1.0
1050,0.05,207.1727914395568,25,53174,1.0
1100,0.05,207.82711819741738,25,57428,1.0
1150,0.05,211.71618201117312,25,61340,1.0
1200,0.05,212.67888118461522,25,65444,1.0
1250,0.05,213.72668341231395,25,69648,1.0
1300,0.05,214.44516035730248,25,73883,1.0
1350,0.05,213.4530463487511,25,78544,1.0
1400,0.05,221.3640625131707,25,83425,1.0
1450,0.05,231.85253232366819,25,88412,1.0
1500,0.05,251.4702043712042,25,93843,1.0
1550,0.05,264.32642446331323,25,99953,1.0
1600,0.05,280.05264712068686,25,106999,1.0
1650,0.05,299.20115153369096,25,114486,0.3727975405407761
1704,0.05,320.5691533770261,27,123685,0.17791808547361734
1758,0.05,344.8840865299748,27,132897,0.1499102276227384
1812,0.05,371.5947549806765,27,143137,0.2618081339570853
1866,0.05,399.7484070080529,27,155186,0.22020995561766743
1922,0.05,430.481002972581,28,168533,0.24221620255626655
1978,0.05,464.4604316003965,28,183346,0.2653352861262595
2034,0.05,506.6779682028002,28,198826,0.22936525249626954
2090,0.05,553.7328735326229,28,216365,0.23439258688956818
2146,0.05,587.3657721117921,28,235336,0.20949633351062547
2202,0.05,627.4621546946066,28,257412,0.16573100761139015
2258,0.05,694.8341286751131,28,280205,0.13226115737546806
2314,0.05,812.5311778116122,28,305204,0.25762453619189013
2372,0.05,1030.725870883264,29,332531,0.30853485689495097
2430,0.05,1012.706097113899,29,362573,0.21706547937192966
2488,0.05,1003.6894612280091,29,395225,0.21761630128652804
2546,0.05,997.6494426853625,29,425443,0.16172168042187046
2604,0.05,996.7292529650379,29,458334,0.12569550884731207
2662,0.05,997.744304748567,29,492104,0.14789040242883206
2720,0.05,1000.6633713226014,29,530757,0.34331900073981286
2778,0.05,1004.344058320445,29,574086,0.1270550137964685
2836,0.05,1006.74026726101,29,615670,0.3326912503607754
2896,0.05,1007.1515035614033,30,660672,0.1650639672541486
2956,0.05,1005.862160299625,30,706929,0.07591305159605403
3016,0.05,1004.5801073826165,30,753589,0.3445791589070544
3076,0.05,1001.9412425427768,30,794977,0.08298776593654256
3136,0.05,999.3667561258072,30,846499,0.3078285583321118
3196,0.05,998.1527090123898,30,894939,0.3093149515281273
3256,0.05,998.3954799980237,30,948238,0.09520723274245323
3316,0.05,999.5616158563915,30,997985,0.24204340109187278
3376,0.05,1001.5751536482651,30,1053562,0.3016747207108629
3436,0.05,1002.3987961661772,30,1109798,0.2209569440043577
3498,0.05,1002.0804369837837,31,1166971,0.0492479789131067
3560,0.05,1002.7093633761777,31,1228474,0.20647903088542507
3622,0.05,1002.1907593655208,31,1286788,0.19247312268027503
3684,0.05,1002.1428417411154,31,1345874,0.09444245018727444
3746,0.05,1001.5123446756527,31,1404119,0.13821813743405212
3808,0.05,1001.1593105735832,31,1465638,0.17072920211671777
3870,0.05,1001.0124221606794,31,1526497,0.15397415788650118
3932,0.05,1000.7012658036616,31,1584976,0.04085666050253886
