Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
132,0.05,44.151393610584805,66,3012,1
264,0.05,43.7631699496496,66,6709,1
396,0.05,45.303125533322664,66,10713,1
528,0.05,46.48563811280131,66,15445,1
660,0.05,49.54106115654714,66,20993,1
792,0.05,52.40541885178088,66,26375,1
924,0.05,57.55859079915136,66,32294,1
1056,0.05,64.75843623249814,66,39157,1
1188,0.05,214.90688226521644,66,46874,1
1320,0.05,220.74886049345722,66,55208,1
1452,0.05,236.15233419078882,66,64979,1
1584,0.05,223.874509020432,66,77230,1
1716,0.05,220.32652368419784,66,90670,1
1848,0.05,238.69686701944738,66,105520,1
1980,0.05,283.69063072681644,66,122453,1
2112,0.05,362.6248487564271,66,140903,1
2244,0.05,402.66619026655843,66,164757,1
2376,0.05,444.99442364037174,66,190075,1
2508,0.05,495.69838623432616,66,217369,1
2640,0.05,528.6434515992672,66,252315,1
2772,0.05,563.502635198211,66,289548,1
2904,0.05,633.9818588744237,66,330612,1
3036,0.05,747.6113570443564,66,374906,1
3168,0.05,903.9107717791709,66,423142,1
3300,0.05,1065.5102810309106,66,473823,1
3432,0.05,1071.1894538239817,66,531930,1
3564,0.05,1058.280864074806,66,591146,1
3696,0.05,1052.7235510186106,66,651095,1
3828,0.05,1048.5801623818818,66,717100,1
3960,0.05,1045.5987714526548,66,791566,1
4092,0.05,1042.0820308553834,66,865490,1
