Rollouts,Learning Rate,Reward,Samples,Timesteps
0,2.220446049250313e-16,49.61495101668246,0,0
132,2.220446049250313e-16,65.68016252996668,66,3386
264,2.220446049250313e-16,157.61517134014895,66,7838
396,2.220446049250313e-16,707.1862570788475,66,30891
528,2.220446049250313e-16,1023.196531104434,66,70714
660,2.220446049250313e-16,1024.4354409545172,66,113498
792,2.220446049250313e-16,1024.4354409545174,66,175685
924,2.220446049250313e-16,1024.4354409545174,66,236809
1056,2.220446049250313e-16,1024.4354409545174,66,299577
1188,2.220446049250313e-16,1024.4354409545172,66,369000
1320,2.220446049250313e-16,1025.1563619591918,66,411454
1452,2.220446049250313e-16,1025.1563619591918,66,472976
