Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.4210854715202004e-14,40.083179095403636,0,0
428,1.4210854715202004e-14,85.09102548251252,214,9806
856,1.4210854715202004e-14,92.34730429880709,214,36106
1284,1.4210854715202004e-14,100.03831654151954,214,62236
1712,1.4210854715202004e-14,125.61514625802441,214,91216
2140,1.4210854715202004e-14,133.38826900902063,214,119314
2568,1.4210854715202004e-14,133.57354212116184,214,142719
2996,1.4210854715202004e-14,170.87942089766253,214,166033
3424,1.4210854715202004e-14,190.40185789921907,214,189876
3852,1.4210854715202004e-14,199.1695115004831,214,213127
4280,1.4210854715202004e-14,204.7875508217522,214,237229
4708,1.4210854715202004e-14,204.79075791880874,214,261113
5136,1.4210854715202004e-14,218.99568242116408,214,284480
5564,1.4210854715202004e-14,220.91737411324877,214,308074
5992,1.4210854715202004e-14,221.14459503082261,214,331730
6420,1.4210854715202004e-14,223.0269705843239,214,355089
6848,1.4210854715202004e-14,223.12328105762822,214,378740
7276,1.4210854715202004e-14,223.1586497471113,214,402630
7704,1.4210854715202004e-14,223.17104309353215,214,426791
8132,1.4210854715202004e-14,223.1764497980168,214,451262
8560,1.4210854715202004e-14,223.1799589759869,214,476054
8988,1.4210854715202004e-14,259.49421751086294,214,499019
9416,1.4210854715202004e-14,259.494206295381,214,538725
9844,1.4210854715202004e-14,267.24427258244805,214,567666
10272,1.4210854715202004e-14,267.24426694169836,214,604930
10700,1.4210854715202004e-14,267.2442732303269,214,636160
11128,1.4210854715202004e-14,306.08375035207507,214,665190
11556,1.4210854715202004e-14,306.13781925215295,214,695713
11984,1.4210854715202004e-14,306.1697925819914,214,726847
12412,1.4210854715202004e-14,360.41001050438615,214,757940
12840,1.4210854715202004e-14,260.25019757889896,214,791263
13268,1.4210854715202004e-14,299.3264332824801,214,820741
13696,1.4210854715202004e-14,299.5331807588453,214,850845
14124,1.4210854715202004e-14,299.5332083217341,214,882466
14552,1.4210854715202004e-14,299.5357160416745,214,913328
14980,1.4210854715202004e-14,299.53623061536706,214,944534
15408,1.4210854715202004e-14,305.8856428881356,214,976322
15836,1.4210854715202004e-14,305.88565132125217,214,1008287
16264,1.4210854715202004e-14,305.88564923239835,214,1043960
16692,1.4210854715202004e-14,305.88564982081033,214,1076898
17120,1.4210854715202004e-14,342.91684141251835,214,1107416
17548,1.4210854715202004e-14,342.9226035434733,214,1139588
17976,1.4210854715202004e-14,342.92261398552296,214,1170916
18404,1.4210854715202004e-14,342.9261240912894,214,1201251
18832,1.4210854715202004e-14,342.9263526585809,214,1233044
19260,1.4210854715202004e-14,342.91525113718757,214,1269401
19688,1.4210854715202004e-14,342.91615110200934,214,1300163
20116,1.4210854715202004e-14,342.91624410893775,214,1330801
20544,1.4210854715202004e-14,342.9253772172268,214,1361054
20972,1.4210854715202004e-14,342.9253789611559,214,1392693
21400,1.4210854715202004e-14,342.92539925710633,214,1423781
21828,1.4210854715202004e-14,342.92571080527665,214,1456855
22256,1.4210854715202004e-14,342.92617683164224,214,1487017
