Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.3877787807814457e-17,40.083179095403636,0,0
428,1.3877787807814457e-17,41.75952959259998,214,9717
856,1.3877787807814457e-17,51.13660742019625,214,37842
1284,1.3877787807814457e-17,309.09460170652665,214,50156
1712,1.3877787807814457e-17,318.49924460292806,214,72967
2140,1.3877787807814457e-17,324.413794075571,214,96043
2568,1.3877787807814457e-17,328.233300013373,214,119327
2996,1.3877787807814457e-17,328.23330001274473,214,149674
3424,1.3877787807814457e-17,330.156064654783,214,172094
3852,1.3877787807814457e-17,335.9592214412052,214,196642
4280,1.3877787807814457e-17,337.47453714640466,214,221346
4708,1.3877787807814457e-17,337.474396416044,214,252516
5136,1.3877787807814457e-17,337.4836853355344,214,277726
5564,1.3877787807814457e-17,337.51430966413244,214,302857
5992,1.3877787807814457e-17,337.5156334958018,214,327484
6420,1.3877787807814457e-17,337.5164583778938,214,353674
6848,1.3877787807814457e-17,337.51645885254595,214,379709
7276,1.3877787807814457e-17,337.51646048735324,214,406508
7704,1.3877787807814457e-17,337.5171506473046,214,433076
8132,1.3877787807814457e-17,337.51715171101046,214,459726
8560,1.3877787807814457e-17,337.517234522113,214,486087
8988,1.3877787807814457e-17,337.51723463953675,214,512849
9416,1.3877787807814457e-17,337.5172514168137,214,539471
9844,1.3877787807814457e-17,337.5172455256122,214,570545
10272,1.3877787807814457e-17,337.5172889224819,214,595830
10700,1.3877787807814457e-17,337.517293832681,214,622737
11128,1.3877787807814457e-17,337.5172959395438,214,649222
11556,1.3877787807814457e-17,337.5172929636479,214,680640
11984,1.3877787807814457e-17,337.51729695654905,214,706644
12412,1.3877787807814457e-17,337.50987839758096,214,737340
12840,1.3877787807814457e-17,337.5101953596951,214,763056
13268,1.3877787807814457e-17,337.5172058761398,214,788679
13696,1.3877787807814457e-17,337.51720836510606,214,815212
14124,1.3877787807814457e-17,337.5172523256557,214,840630
14552,1.3877787807814457e-17,337.5172734751384,214,867023
14980,1.3877787807814457e-17,337.5172745440643,214,893637
15408,1.3877787807814457e-17,337.5172855334744,214,920068
15836,1.3877787807814457e-17,347.0836269379171,214,945367
16264,1.3877787807814457e-17,347.8334377626686,214,970715
16692,1.3877787807814457e-17,347.83660609688417,214,997422
17120,1.3877787807814457e-17,347.887290950665,214,1022273
17548,1.3877787807814457e-17,347.88661742463114,214,1053587
17976,1.3877787807814457e-17,347.889596184115,214,1079004
18404,1.3877787807814457e-17,347.88961841758424,214,1105657
18832,1.3877787807814457e-17,347.88940297475193,214,1136719
19260,1.3877787807814457e-17,347.88942985164874,214,1162203
19688,1.3877787807814457e-17,347.8896068579148,214,1187349
20116,1.3877787807814457e-17,347.8896239227829,214,1213321
20544,1.3877787807814457e-17,347.88952635023577,214,1244585
20972,1.3877787807814457e-17,347.88953300125496,214,1270616
21400,1.3877787807814457e-17,347.8895365375886,214,1296806
21828,1.3877787807814457e-17,347.8896148299362,214,1322709
22256,1.3877787807814457e-17,347.88962101691914,214,1349177
22684,1.3877787807814457e-17,347.88962361551427,214,1376046
23112,1.3877787807814457e-17,347.8896192727684,214,1407460
23540,1.3877787807814457e-17,347.8895669407068,214,1439357
23968,1.3877787807814457e-17,347.8894580773047,214,1470626
24396,1.3877787807814457e-17,347.88913330345855,214,1501273
24824,1.3877787807814457e-17,357.29055352238356,214,1525459
25252,1.3877787807814457e-17,354.4647504482965,214,1556675
25680,1.3877787807814457e-17,354.6437706285107,214,1583258
26108,1.3877787807814457e-17,354.90443985630077,214,1609741
26536,1.3877787807814457e-17,355.4204634445126,214,1635334
26964,1.3877787807814457e-17,355.42222774211206,214,1662045
27392,1.3877787807814457e-17,355.4002659257289,214,1693228
27820,1.3877787807814457e-17,355.30618130095934,214,1724676
28248,1.3877787807814457e-17,356.7948064569523,214,1750713
28676,1.3877787807814457e-17,350.238593368714,214,1781713
29104,1.3877787807814457e-17,350.03306960327956,214,1811878
29532,1.3877787807814457e-17,355.4495486310659,214,1837704
29960,1.3877787807814457e-17,356.2008831787185,214,1864237
