Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.3877787807814457e-17,364.6928381491894,0,0
428,1.3877787807814457e-17,378.955876853704,214,26231
856,1.3877787807814457e-17,378.95587685370305,214,64097
1284,1.3877787807814457e-17,409.32408870566024,214,90755
1712,1.3877787807814457e-17,409.3240887056604,214,122023
2140,1.3877787807814457e-17,409.32408870566104,214,154990
2568,1.3877787807814457e-17,409.3240887056613,214,188824
2996,1.3877787807814457e-17,409.32408870565996,214,228009
3424,1.3877787807814457e-17,409.49380896274954,214,254958
3852,1.3877787807814457e-17,409.49869468188353,214,281623
4280,1.3877787807814457e-17,409.49869468188086,214,319202
4708,1.3877787807814457e-17,409.74512554147105,214,345208
5136,1.3877787807814457e-17,409.74541175243013,214,371308
5564,1.3877787807814457e-17,410.3949655757217,214,397358
5992,1.3877787807814457e-17,410.3949655757228,214,429162
6420,1.3877787807814457e-17,410.3949655757218,214,467394
6848,1.3877787807814457e-17,410.39496557572073,214,505749
7276,1.3877787807814457e-17,410.56924238002114,214,532599
7704,1.3877787807814457e-17,410.56924238002114,214,565330
8132,1.3877787807814457e-17,410.7038483858458,214,592185
8560,1.3877787807814457e-17,410.7038483858442,214,630125
8988,1.3877787807814457e-17,1022.691650895435,214,656339
9416,1.3877787807814457e-17,1022.6916508954356,214,800809
9844,1.3877787807814457e-17,1022.6949950285059,214,940334
10272,1.3877787807814457e-17,1022.6949950285059,214,1097612
10700,1.3877787807814457e-17,1023.3094138421759,214,1228602
11128,1.3877787807814457e-17,1023.3094138421757,214,1400118
11556,1.3877787807814457e-17,1023.309413842176,214,1549343
11984,1.3877787807814457e-17,1023.313643589869,214,1682918
12412,1.3877787807814457e-17,1023.5340593493446,214,1796642
12840,1.3877787807814457e-17,1023.5474178210562,214,1918906
13268,1.3877787807814457e-17,1025.031825044963,214,2029982
13696,1.3877787807814457e-17,1025.031825044963,214,2150704
14124,1.3877787807814457e-17,1026.0341384191668,214,2259381
14552,1.3877787807814457e-17,1026.4311136149556,214,2368284
14980,1.3877787807814457e-17,1026.4320299100611,214,2484931
15408,1.3877787807814457e-17,1026.475209278682,214,2611189
15836,1.3877787807814457e-17,1026.4848667977808,214,2732826
16264,1.3877787807814457e-17,1026.508250318878,214,2845990
16692,1.3877787807814457e-17,1026.5082503188748,214,2996450
17120,1.3877787807814457e-17,1026.5083004727062,214,3127995
17548,1.3877787807814457e-17,1026.5083136396884,214,3249542
17976,1.3877787807814457e-17,1026.508313639688,214,3398573
18404,1.3877787807814457e-17,1026.5083324552822,214,3520927
18832,1.3877787807814457e-17,1026.508333163603,214,3646539
19260,1.3877787807814457e-17,1026.5083331636033,214,3782483
19688,1.3877787807814457e-17,1026.5083343353022,214,3900953
20116,1.3877787807814457e-17,1026.5083346234205,214,4024082
20544,1.3877787807814457e-17,1026.5084381755487,214,4135603
20972,1.3877787807814457e-17,1026.5085797461645,214,4265802
21400,1.3877787807814457e-17,1026.5085912828708,214,4391538
21828,1.3877787807814457e-17,1026.5085912828717,214,4522135
22256,1.3877787807814457e-17,1026.5086029291526,214,4639406
22684,1.3877787807814457e-17,1026.5086029291483,214,4787237
23112,1.3877787807814457e-17,1026.5086177640862,214,4904885
23540,1.3877787807814457e-17,1026.5086177640837,214,5060964
23968,1.3877787807814457e-17,1026.5086213633367,214,5184634
24396,1.3877787807814457e-17,1026.5585289420794,214,5287562
24824,1.3877787807814457e-17,1026.5585289420803,214,5420004
25252,1.3877787807814457e-17,1026.5585682364556,214,5538685
25680,1.3877787807814457e-17,1026.5585682364558,214,5674880
26108,1.3877787807814457e-17,1026.558568236456,214,5808746
26536,1.3877787807814457e-17,1026.5585682364567,214,5942011
26964,1.3877787807814457e-17,1026.558568236457,214,6079916
27392,1.3877787807814457e-17,1026.5590407071181,214,6193572
27820,1.3877787807814457e-17,1026.5594582972014,214,6298966
28248,1.3877787807814457e-17,1026.559462058621,214,6419849
28676,1.3877787807814457e-17,1026.5626824652586,214,6539188
29104,1.3877787807814457e-17,1026.562682465261,214,6658972
29532,1.3877787807814457e-17,1026.562759254435,214,6774891
29960,1.3877787807814457e-17,1026.5627592544358,214,6902510
30388,1.3877787807814457e-17,1026.562759254436,214,7034123
30816,1.3877787807814457e-17,1026.5627592544388,214,7151849
31244,1.3877787807814457e-17,1026.5813265950346,214,7271756
31672,1.3877787807814457e-17,1026.5813313114847,214,7396754
32100,1.3877787807814457e-17,1026.581331311485,214,7519659
32528,1.3877787807814457e-17,1026.5813313831052,214,7642305
32956,1.3877787807814457e-17,1026.5813313831059,214,7774979
33384,1.3877787807814457e-17,1026.5813315453995,214,7911175
33812,1.3877787807814457e-17,1026.5813315453993,214,8063295
34240,1.3877787807814457e-17,1026.581331548015,214,8183580
34668,1.3877787807814457e-17,1026.5813315496084,214,8299560
35096,1.3877787807814457e-17,1026.5813315496084,214,8433688
35524,1.3877787807814457e-17,1026.5813315507721,214,8552006
35952,1.3877787807814457e-17,1026.5813315553478,214,8674107
36380,1.3877787807814457e-17,1026.5813315553485,214,8805488
36808,1.3877787807814457e-17,1026.58133155539,214,8938103
37236,1.3877787807814457e-17,1026.5813315553905,214,9059825
37664,1.3877787807814457e-17,1026.5813315553899,214,9210668
38092,1.3877787807814457e-17,1026.5813315553903,214,9342244
38520,1.3877787807814457e-17,1026.5813315553892,214,9491501
38948,1.3877787807814457e-17,1026.5813315554283,214,9631250
39376,1.3877787807814457e-17,1026.5813315554285,214,9760102
