Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
44,0.05,45.545880776771384,22,265,1.0
88,0.05,63.79663948605818,22,550,1.0
132,0.05,129.7405853215239,22,830,1.0
176,0.05,92.1657452396152,22,1128,1.0
220,0.05,110.43818583991879,22,1457,1.0
264,0.05,110.9929970198707,22,1826,1.0
308,0.05,120.1318837489188,22,2220,1.0
352,0.05,120.10947718376323,22,2621,1.0
396,0.05,119.93773523765375,22,3018,1.0
440,0.05,119.7131563835961,22,3472,1.0
484,0.05,129.38758216987017,22,3959,0.0
504,0.05,138.44258748822736,10,4209,0.09242977011610742
524,0.05,120.14327766784277,10,4403,0.024489986633559155
544,0.05,101.41059225060172,10,4629,0.17156565695947765
564,0.05,110.86703285152306,10,4868,0.021920711158269005
584,0.05,194.07178646689022,10,5089,0.21247140464706618
604,0.05,119.76851195856813,10,5318,0.23386612943702226
624,0.05,110.28413157760174,10,5533,0.3865234362680379
644,0.05,110.40871721959726,10,5753,0.1818439736334006
664,0.05,119.81200056909292,10,5980,0.025568411260304513
684,0.05,110.6623613867677,10,6202,0.18027271161886174
704,0.05,101.51962870266303,10,6440,0.10078972657910747
724,0.05,110.41412927137104,10,6660,0.1781564150738446
744,0.05,147.69796903959775,10,6858,0.14406409714068244
764,0.05,129.0138985515043,10,7068,0.19670454341053814
784,0.05,119.77612943121935,10,7315,0.3223373901057391
804,0.05,110.30127582688921,10,7567,0.0047613943470601345
824,0.05,101.34743259045322,10,7796,0.30525148338634245
846,0.05,101.19986062946872,11,8061,0.0
866,0.05,101.17158173132219,10,8272,0.392439916445329
888,0.05,101.32158015976877,11,8539,0.0
910,0.05,110.34359917756466,11,8773,0.0
932,0.05,138.45642371093933,11,9025,0.0
954,0.05,194.15886274107595,11,9288,0.0
976,0.05,129.06938038625347,11,9571,0.0
998,0.05,119.68480851346617,11,9854,0.0
1020,0.05,110.95837997089788,11,10111,0.0
1042,0.05,119.75650219842731,11,10377,0.0
1064,0.05,129.4618399913778,11,10607,0.0
1086,0.05,147.44204626898093,11,10893,0.0
1108,0.05,110.71876251164096,11,11181,0.0
1130,0.05,110.61832815617603,11,11469,0.0
1152,0.05,148.08408638349314,11,11721,0.0
1174,0.05,157.33483584689972,11,11994,0.0
1196,0.05,147.7051472390713,11,12300,0.0
1218,0.05,166.60876613026267,11,12576,0.0
1240,0.05,194.7684142072726,11,12880,0.0
1262,0.05,166.36705724988767,11,13147,0.0
1284,0.05,248.4142414924718,11,13413,0.0
1306,0.05,268.7425115877838,11,13692,0.0
1328,0.05,258.8874455350797,11,13963,0.0
1350,0.05,238.35633734157187,11,14281,0.0
1372,0.05,166.6950921212105,11,14524,0.0
1394,0.05,240.33854830732713,11,14811,0.0
1416,0.05,210.53824789030188,11,15135,0.0
1438,0.05,200.46851165431696,11,15420,0.0
1460,0.05,211.8257587610269,11,15731,0.0
1482,0.05,202.44842420909526,11,16038,0.0
1504,0.05,201.59575817198314,11,16330,0.0
1526,0.05,201.5685089878642,11,16633,0.0
1548,0.05,210.30023175651849,11,16963,0.0
1570,0.05,193.58010476974397,11,17208,0.0
1592,0.05,202.03179987701463,11,17493,0.0
1614,0.05,166.5231181212643,11,17796,0.0
1636,0.05,184.6851422513323,11,18123,0.0
1658,0.05,203.03304691007654,11,18419,0.0
1680,0.05,250.01771910946425,11,18703,0.0
1702,0.05,138.25310822182527,11,19005,0.0
1724,0.05,147.74701133730863,11,19330,0.0
1746,0.05,267.59947297408263,11,19641,0.0
1768,0.05,147.878046586474,11,19947,0.0
1790,0.05,175.21060548908156,11,20332,0.0
1812,0.05,203.188882008105,11,20675,0.0
1834,0.05,231.45912240616042,11,21006,0.0
1856,0.05,138.60661682822143,11,21334,0.0
1878,0.05,211.08010891132162,11,21591,0.0
1900,0.05,229.77190734662645,11,21944,0.0
1922,0.05,166.26078358943485,11,22313,0.0
