Rollouts,Learning Rate,Reward,Samples,Timesteps
0,7.105427357601002e-15,44.77953184637951,0,0
44,7.105427357601002e-15,63.65368539090542,22,224
88,7.105427357601002e-15,73.18224143799488,22,546
132,7.105427357601002e-15,82.38558798811549,22,931
176,7.105427357601002e-15,138.46043890556177,22,1379
220,7.105427357601002e-15,146.9359840801,22,1920
264,7.105427357601002e-15,156.38440544962526,22,2548
308,7.105427357601002e-15,156.38440544962486,22,4167
352,7.105427357601002e-15,156.38440544962486,22,5512
396,7.105427357601002e-15,193.4924661273084,22,6177
440,7.105427357601002e-15,219.61481638470335,22,6858
484,7.105427357601002e-15,247.00094834364313,22,7605
528,7.105427357601002e-15,247.00101411299968,22,8621
572,7.105427357601002e-15,247.07961055721157,22,9447
616,7.105427357601002e-15,247.08558366870096,22,10272
660,7.105427357601002e-15,247.1080205578964,22,11158
704,7.105427357601002e-15,247.12294419898677,22,12019
748,7.105427357601002e-15,247.12294419898677,22,13813
792,7.105427357601002e-15,247.12294419898677,22,15574
836,7.105427357601002e-15,247.30663075037774,22,16557
880,7.105427357601002e-15,247.30663075037774,22,18309
924,7.105427357601002e-15,247.31674524324555,22,19447
968,7.105427357601002e-15,247.31674524324555,22,21246
1012,7.105427357601002e-15,247.31674524324558,22,22970
1056,7.105427357601002e-15,247.31674524324558,22,24849
1100,7.105427357601002e-15,247.31674524324558,22,26655
1144,7.105427357601002e-15,247.31674524324558,22,28424
1188,7.105427357601002e-15,247.31700092551142,22,29599
1232,7.105427357601002e-15,247.31703098351042,22,30842
1276,7.105427357601002e-15,247.31705102911684,22,32092
1320,7.105427357601002e-15,247.31705113399815,22,33466
1364,7.105427357601002e-15,247.31705113399815,22,35279
1408,7.105427357601002e-15,247.31705113399815,22,37124
1452,7.105427357601002e-15,247.31705113399815,22,38977
1496,7.105427357601002e-15,247.31705113490995,22,40372
1540,7.105427357601002e-15,247.31705113491378,22,41921
1584,7.105427357601002e-15,247.3170511349158,22,43424
1628,7.105427357601002e-15,247.3170511349159,22,45133
1672,7.105427357601002e-15,247.31705113491694,22,46726
1716,7.105427357601002e-15,247.31705113491697,22,48472
1760,7.105427357601002e-15,247.3170511349168,22,50684
1804,7.105427357601002e-15,247.31705113491688,22,52238
1848,7.105427357601002e-15,247.31705113491694,22,53933
1892,7.105427357601002e-15,247.31705113491694,22,55655
1936,7.105427357601002e-15,247.32663324964207,22,56787
1980,7.105427357601002e-15,247.32663324964207,22,58552
2024,7.105427357601002e-15,247.32663324964207,22,60360
2068,7.105427357601002e-15,247.3266332496421,22,62206
2112,7.105427357601002e-15,247.32713126092386,22,63437
2156,7.105427357601002e-15,247.3271312609239,22,65262
2200,7.105427357601002e-15,247.32713834682056,22,66651
2244,7.105427357601002e-15,247.32713834683446,22,68322
2288,7.105427357601002e-15,247.32713834683446,22,70100
2332,7.105427357601002e-15,247.3271383468364,22,71767
2376,7.105427357601002e-15,247.3271383468364,22,73643
2420,7.105427357601002e-15,247.3271383468364,22,75445
2464,7.105427357601002e-15,247.3271383468364,22,77123
2508,7.105427357601002e-15,247.3271383468364,22,78918
2552,7.105427357601002e-15,247.3271383468364,22,80619
2596,7.105427357601002e-15,247.3271383468364,22,82397
2640,7.105427357601002e-15,247.3271383468364,22,84235
2684,7.105427357601002e-15,247.3271383468364,22,86035
2728,7.105427357601002e-15,247.3271383468364,22,87867
2772,7.105427357601002e-15,247.3271383468364,22,89685
2816,7.105427357601002e-15,247.3271383468364,22,91485
2860,7.105427357601002e-15,247.3271383468364,22,93247
2904,7.105427357601002e-15,247.3271383468364,22,95003
2948,7.105427357601002e-15,247.3271383468364,22,96704
2992,7.105427357601002e-15,247.32713834683636,22,98964
3036,7.105427357601002e-15,247.32713834683636,22,100762
3080,7.105427357601002e-15,247.32713834683636,22,102516
3124,7.105427357601002e-15,247.32713834683636,22,104277
3168,7.105427357601002e-15,247.32713834683636,22,106083
3212,7.105427357601002e-15,247.32713834683628,22,108364
3256,7.105427357601002e-15,247.32713834683628,22,110159
3300,7.105427357601002e-15,247.32713834683636,22,111936
3344,7.105427357601002e-15,247.32713834683636,22,113639
3388,7.105427357601002e-15,247.32713834683636,22,115463
3432,7.105427357601002e-15,247.3271383468364,22,117178
3476,7.105427357601002e-15,247.3271383468364,22,119048
3520,7.105427357601002e-15,247.3271383468364,22,120769
3564,7.105427357601002e-15,247.3271383468364,22,122580
3608,7.105427357601002e-15,247.3271383468364,22,124372
3652,7.105427357601002e-15,247.3271383468364,22,126154
3696,7.105427357601002e-15,247.3271383468364,22,127999
3740,7.105427357601002e-15,247.3271383468364,22,129730
3784,7.105427357601002e-15,247.3271383468364,22,131499
3828,7.105427357601002e-15,247.3271383468364,22,133278
3872,7.105427357601002e-15,247.3271383468364,22,134943
3916,7.105427357601002e-15,247.32713834683634,22,137224
3960,7.105427357601002e-15,247.32713834683634,22,139005
4004,7.105427357601002e-15,247.32713834683636,22,140738
4048,7.105427357601002e-15,247.32713834683628,22,142943
4092,7.105427357601002e-15,247.32713834683628,22,144740
4136,7.105427357601002e-15,247.3271383468363,22,146445
4180,7.105427357601002e-15,247.3271383468363,22,148171
4224,7.105427357601002e-15,247.3271383468363,22,149885
4268,7.105427357601002e-15,247.3271383468364,22,151563
4312,7.105427357601002e-15,247.32713834683642,22,153399
4356,7.105427357601002e-15,247.32713834683642,22,155227
4400,7.105427357601002e-15,247.32713834683642,22,157044
4444,7.105427357601002e-15,247.32713834683642,22,158974
4488,7.105427357601002e-15,247.32713834683642,22,160947
4532,7.105427357601002e-15,247.32713834683642,22,162805
4576,7.105427357601002e-15,247.32713834683642,22,164659
4620,7.105427357601002e-15,247.32713834683642,22,166562
4664,7.105427357601002e-15,247.32713834683642,22,168461
4708,7.105427357601002e-15,247.3271383468363,22,170707
4752,7.105427357601002e-15,247.32713834683636,22,172481
4796,7.105427357601002e-15,247.32713834683636,22,174352
4840,7.105427357601002e-15,247.32713834683636,22,176061
4884,7.105427357601002e-15,247.3271383468364,22,177785
4928,7.105427357601002e-15,247.3271383468364,22,179471
4972,7.105427357601002e-15,247.3271383468364,22,181354
5016,7.105427357601002e-15,247.3271383468364,22,183088
5060,7.105427357601002e-15,247.3271383468364,22,184807
5104,7.105427357601002e-15,247.32713834683625,22,186990
5148,7.105427357601002e-15,247.32713834683625,22,188712
5192,7.105427357601002e-15,247.32713834683614,22,190899
5236,7.105427357601002e-15,247.32713834683614,22,192736
5280,7.105427357601002e-15,247.32713834683614,22,194469
5324,7.105427357601002e-15,247.32713834683614,22,196279
5368,7.105427357601002e-15,247.32713834683614,22,198099
5412,7.105427357601002e-15,247.32713834683628,22,199758
5456,7.105427357601002e-15,247.32713834683628,22,201542
5500,7.105427357601002e-15,247.32713834683636,22,203321
5544,7.105427357601002e-15,247.32713834683636,22,205179
5588,7.105427357601002e-15,247.32713834683636,22,207022
5632,7.105427357601002e-15,247.3271383468364,22,208724
5676,7.105427357601002e-15,247.3271383468364,22,210527
5720,7.105427357601002e-15,247.32713834683636,22,212746
5764,7.105427357601002e-15,247.32713834683636,22,214512
5808,7.105427357601002e-15,247.32713834683636,22,216323
5852,7.105427357601002e-15,247.32713834683636,22,218065
5896,7.105427357601002e-15,247.32713834683636,22,219855
5940,7.105427357601002e-15,247.3271383468364,22,221617
5984,7.105427357601002e-15,247.32713834683625,22,223888
6028,7.105427357601002e-15,247.32713834683625,22,225628
6072,7.105427357601002e-15,247.32713834683636,22,227350
6116,7.105427357601002e-15,247.32713834683636,22,229109
6160,7.105427357601002e-15,247.32713834683636,22,230928
6204,7.105427357601002e-15,247.32713834683636,22,232765
6248,7.105427357601002e-15,247.32713834683636,22,234679
6292,7.105427357601002e-15,247.32713834683636,22,236538
