Rollouts,Learning Rate,Reward,Samples,Timesteps
0,8.881784197001252e-16,44.77953184637951,0,0
44,8.881784197001252e-16,54.674142585388495,22,251
88,8.881784197001252e-16,64.03466614982763,22,529
132,8.881784197001252e-16,73.11709833081746,22,862
176,8.881784197001252e-16,73.14428183244468,22,1250
220,8.881784197001252e-16,73.1561997748341,22,1626
264,8.881784197001252e-16,73.3675003852837,22,2009
308,8.881784197001252e-16,82.21052883458403,22,2407
352,8.881784197001252e-16,91.78812600734433,22,2834
396,8.881784197001252e-16,92.09350350853711,22,3388
440,8.881784197001252e-16,110.57153826297208,22,3946
484,8.881784197001252e-16,155.20782694330003,22,4512
528,8.881784197001252e-16,172.8249037828781,22,5134
572,8.881784197001252e-16,172.98933333458703,22,5828
616,8.881784197001252e-16,172.98933333458703,22,7239
660,8.881784197001252e-16,173.50745854498598,22,7905
704,8.881784197001252e-16,173.5216210633346,22,8635
748,8.881784197001252e-16,173.52885452302755,22,9411
792,8.881784197001252e-16,173.52885452302894,22,10769
836,8.881784197001252e-16,173.52885452302894,22,12107
880,8.881784197001252e-16,173.58664230966747,22,12954
924,8.881784197001252e-16,173.5889918262873,22,13873
968,8.881784197001252e-16,173.5889918262751,22,15529
1012,8.881784197001252e-16,173.5894119594278,22,16477
1056,8.881784197001252e-16,173.58952732092843,22,17397
1100,8.881784197001252e-16,173.58952732092843,22,18800
1144,8.881784197001252e-16,173.58956965237508,22,19770
1188,8.881784197001252e-16,173.58956965237508,22,21212
1232,8.881784197001252e-16,182.41709638523375,22,21789
1276,8.881784197001252e-16,182.41709638523375,22,23128
1320,8.881784197001252e-16,182.41709638523375,22,24566
1364,8.881784197001252e-16,191.76136974351368,22,25192
1408,8.881784197001252e-16,192.04626891536407,22,25806
1452,8.881784197001252e-16,192.68147321700502,22,26499
1496,8.881784197001252e-16,201.7944973401168,22,27150
1540,8.881784197001252e-16,210.57872306569902,22,27839
1584,8.881784197001252e-16,210.63392267331253,22,28655
1628,8.881784197001252e-16,210.63392267326446,22,30628
1672,8.881784197001252e-16,210.6975230325909,22,31495
1716,8.881784197001252e-16,210.6975230325909,22,33130
1760,8.881784197001252e-16,210.6975230325909,22,34720
1804,8.881784197001252e-16,210.71530924911636,22,35712
1848,8.881784197001252e-16,210.71530924911636,22,37310
1892,8.881784197001252e-16,210.71530924901762,22,39293
1936,8.881784197001252e-16,210.7165321190851,22,40202
1980,8.881784197001252e-16,210.71664363673904,22,41192
2024,8.881784197001252e-16,210.71664363673904,22,42752
2068,8.881784197001252e-16,210.71813743565053,22,43663
2112,8.881784197001252e-16,210.71851772821782,22,44658
2156,8.881784197001252e-16,210.71853843283728,22,45717
2200,8.881784197001252e-16,210.7185482333672,22,46776
2244,8.881784197001252e-16,210.71854823336744,22,48388
2288,8.881784197001252e-16,210.71854823336744,22,49990
2332,8.881784197001252e-16,210.71854823336716,22,51977
2376,8.881784197001252e-16,210.71854823336716,22,53559
2420,8.881784197001252e-16,210.71854824698596,22,54777
2464,8.881784197001252e-16,210.71854824740882,22,55996
2508,8.881784197001252e-16,210.71854824740882,22,57573
2552,8.881784197001252e-16,210.71854824740882,22,59155
2596,8.881784197001252e-16,210.71854824740885,22,60746
2640,8.881784197001252e-16,210.7216191458398,22,61745
2684,8.881784197001252e-16,210.72167587353795,22,62906
2728,8.881784197001252e-16,210.72169141519137,22,64120
2772,8.881784197001252e-16,210.72169141519137,22,65749
2816,8.881784197001252e-16,210.72169929909248,22,66983
2860,8.881784197001252e-16,210.72169929909248,22,68564
2904,8.881784197001252e-16,210.72170689856205,22,69783
2948,8.881784197001252e-16,210.72170721436547,22,71111
2992,8.881784197001252e-16,210.72170736246363,22,72466
3036,8.881784197001252e-16,210.72170736236924,22,74433
3080,8.881784197001252e-16,210.7217074115621,22,75860
3124,8.881784197001252e-16,210.72170745263736,22,77246
3168,8.881784197001252e-16,210.72170745263736,22,78860
3212,8.881784197001252e-16,210.72170745374467,22,80347
3256,8.881784197001252e-16,210.72170745424089,22,81893
3300,8.881784197001252e-16,210.72170745424089,22,83477
3344,8.881784197001252e-16,210.72170745424089,22,85085
3388,8.881784197001252e-16,210.7217074537447,22,87089
3432,8.881784197001252e-16,210.72170745387754,22,88688
3476,8.881784197001252e-16,210.7217074544139,22,90251
3520,8.881784197001252e-16,210.7217074544139,22,91828
3564,8.881784197001252e-16,210.7217074544139,22,93444
3608,8.881784197001252e-16,210.72170745424086,22,95392
3652,8.881784197001252e-16,210.72170745441386,22,96920
3696,8.881784197001252e-16,210.7217074544139,22,98507
3740,8.881784197001252e-16,210.72170745441386,22,100446
3784,8.881784197001252e-16,210.712656558707,22,102371
3828,8.881784197001252e-16,210.7217030531486,22,103412
3872,8.881784197001252e-16,210.7217030531486,22,105025
3916,8.881784197001252e-16,210.72170442637864,22,106213
3960,8.881784197001252e-16,210.72170442635337,22,108180
4004,8.881784197001252e-16,210.72170442635337,22,109809
4048,8.881784197001252e-16,210.72170442635337,22,111410
4092,8.881784197001252e-16,210.72170442635337,22,113063
4136,8.881784197001252e-16,210.72170472179408,22,114273
4180,8.881784197001252e-16,210.7217047780632,22,115496
4224,8.881784197001252e-16,210.72170478007774,22,116750
4268,8.881784197001252e-16,210.7217047819892,22,118064
4312,8.881784197001252e-16,210.7217047819892,22,119703
4356,8.881784197001252e-16,210.7217047819892,22,121243
4400,8.881784197001252e-16,210.72170478198922,22,122824
4444,8.881784197001252e-16,210.72170478198922,22,124350
4488,8.881784197001252e-16,210.7217047819892,22,126304
4532,8.881784197001252e-16,210.72170478198925,22,127926
4576,8.881784197001252e-16,210.7217047821011,22,129264
4620,8.881784197001252e-16,210.721704782101,22,131266
4664,8.881784197001252e-16,210.72170478215472,22,132616
4708,8.881784197001252e-16,210.72170478215472,22,134175
4752,8.881784197001252e-16,210.72170478215472,22,135761
4796,8.881784197001252e-16,210.72170478215605,22,137140
4840,8.881784197001252e-16,210.72170478215605,22,138784
4884,8.881784197001252e-16,210.72170478215614,22,140250
4928,8.881784197001252e-16,210.72170478215614,22,141832
4972,8.881784197001252e-16,210.72170478215614,22,143399
5016,8.881784197001252e-16,210.72170478215614,22,144969
5060,8.881784197001252e-16,210.72170478215625,22,146389
5104,8.881784197001252e-16,210.72170478215622,22,148340
5148,8.881784197001252e-16,210.72170478215622,22,149888
5192,8.881784197001252e-16,210.72170478215625,22,151451
5236,8.881784197001252e-16,210.72170478215625,22,152969
5280,8.881784197001252e-16,210.72170478215614,22,154927
5324,8.881784197001252e-16,210.7217047821562,22,156417
5368,8.881784197001252e-16,210.72170478215622,22,157850
5412,8.881784197001252e-16,210.72170478215622,22,159374
5456,8.881784197001252e-16,210.72170478215622,22,160951
5500,8.881784197001252e-16,210.72170478215622,22,162442
5544,8.881784197001252e-16,210.72170478215625,22,163988
5588,8.881784197001252e-16,210.72170478215628,22,165543
5632,8.881784197001252e-16,210.72170478215614,22,167503
5676,8.881784197001252e-16,210.72170478215622,22,168945
5720,8.881784197001252e-16,210.72170478215628,22,170459
5764,8.881784197001252e-16,210.72170478215628,22,172060
5808,8.881784197001252e-16,210.72170478215628,22,173669
5852,8.881784197001252e-16,210.72170478215628,22,175245
5896,8.881784197001252e-16,210.72170478215628,22,176846
5940,8.881784197001252e-16,210.72170478215628,22,178495
5984,8.881784197001252e-16,210.72170478215628,22,180148
6028,8.881784197001252e-16,210.72170478215628,22,181761
6072,8.881784197001252e-16,210.72170478215628,22,183392
6116,8.881784197001252e-16,210.72170478215617,22,185379
6160,8.881784197001252e-16,210.72170478215622,22,186887
6204,8.881784197001252e-16,210.72170478215622,22,188445
6248,8.881784197001252e-16,210.72170478215622,22,189926
6292,8.881784197001252e-16,210.72170478215622,22,191515
6336,8.881784197001252e-16,210.7217047821562,22,193527
6380,8.881784197001252e-16,210.7217047821562,22,195158
6424,8.881784197001252e-16,210.7217047821562,22,196719
6468,8.881784197001252e-16,210.72170478215622,22,198346
6512,8.881784197001252e-16,210.72170478215614,22,200332
6556,8.881784197001252e-16,210.7217047821562,22,201794
6600,8.881784197001252e-16,210.72170478215625,22,203327
6644,8.881784197001252e-16,210.72170478215625,22,204853
6688,8.881784197001252e-16,210.72170478215625,22,206425
6732,8.881784197001252e-16,210.72170478215628,22,207930
6776,8.881784197001252e-16,210.72170478215617,22,209875
6820,8.881784197001252e-16,210.72170478215617,22,211303
6864,8.881784197001252e-16,210.72170478215617,22,212872
6908,8.881784197001252e-16,210.72170478215622,22,214463
6952,8.881784197001252e-16,210.72170478215622,22,215971
6996,8.881784197001252e-16,210.72170478215622,22,217585
7040,8.881784197001252e-16,210.72170478215622,22,219175
7084,8.881784197001252e-16,210.72170478215622,22,220761
7128,8.881784197001252e-16,210.72170478215622,22,222339
7172,8.881784197001252e-16,210.72170478215622,22,223931
7216,8.881784197001252e-16,210.72170478215622,22,225381
7260,8.881784197001252e-16,210.72170478215628,22,226908
7304,8.881784197001252e-16,210.72170478215628,22,228563
7348,8.881784197001252e-16,210.7217047821562,22,230541
7392,8.881784197001252e-16,210.7217047821562,22,232053
7436,8.881784197001252e-16,210.72170478215622,22,233534
7480,8.881784197001252e-16,210.72170478215622,22,235086
7524,8.881784197001252e-16,210.72170478215622,22,236653
7568,8.881784197001252e-16,210.72170478215625,22,238118
7612,8.881784197001252e-16,210.72170478215625,22,239709
7656,8.881784197001252e-16,210.72170478215625,22,241361
7700,8.881784197001252e-16,210.7217047821562,22,243393
7744,8.881784197001252e-16,210.72170478215622,22,244871
7788,8.881784197001252e-16,210.72170478215622,22,246519
7832,8.881784197001252e-16,210.72170478215622,22,248001
7876,8.881784197001252e-16,210.72170478215625,22,249552
7920,8.881784197001252e-16,210.72170478215625,22,251114
7964,8.881784197001252e-16,210.72170478215625,22,252738
8008,8.881784197001252e-16,210.72170478215622,22,254788
8052,8.881784197001252e-16,210.72170478215625,22,256257
8096,8.881784197001252e-16,210.72170478215625,22,257886
8140,8.881784197001252e-16,210.72170478215625,22,259459
8184,8.881784197001252e-16,210.72170478215625,22,261120
8228,8.881784197001252e-16,210.7217047821562,22,263101
8272,8.881784197001252e-16,210.7217047821562,22,264600
8316,8.881784197001252e-16,210.72170478215625,22,266133
8360,8.881784197001252e-16,210.72170478215617,22,268082
8404,8.881784197001252e-16,210.72170478215617,22,269571
8448,8.881784197001252e-16,210.72170478215622,22,271021
8492,8.881784197001252e-16,210.72170478215622,22,272615
8536,8.881784197001252e-16,210.72170478215628,22,274217
8580,8.881784197001252e-16,210.7217047821561,22,276160
8624,8.881784197001252e-16,210.72170478215617,22,277631
8668,8.881784197001252e-16,210.72170478215622,22,279124
8712,8.881784197001252e-16,210.7217047821563,22,280629
8756,8.881784197001252e-16,210.7217047821563,22,282234
