Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1,35.231297001679614,0,0
420,1,45.033525694696834,210,1688
840,1,45.033525694696834,210,3798
1260,1,45.033525694696834,210,5908
1680,1,45.033525694696834,210,8018
2100,1,45.033525694696834,210,10128
2520,1,45.033525694696834,210,12238
2940,1,45.033525694696834,210,14348
3360,1,45.033525694696834,210,16458
3780,1,45.033525694696834,210,18568
4200,1,45.033525694696834,210,20678
4620,1,45.033525694696834,210,22788
5040,1,45.033525694696834,210,24898
5460,1,45.033525694696834,210,27008
5880,1,45.033525694696834,210,29118
6300,1,45.033525694696834,210,31228
6720,1,45.033525694696834,210,33338
7140,1,45.033525694696834,210,35448
7560,1,45.033525694696834,210,37558
7980,1,45.033525694696834,210,39668
8400,1,45.033525694696834,210,41778
8820,1,45.033525694696834,210,43888
9240,1,45.033525694696834,210,45998
9660,1,45.033525694696834,210,48108
10080,1,45.033525694696834,210,50218
10500,1,45.033525694696834,210,52328
10920,1,45.033525694696834,210,54438
11340,1,45.033525694696834,210,56548
11760,1,45.033525694696834,210,58658
12180,1,45.033525694696834,210,60768
12600,1,45.033525694696834,210,62878
13020,1,45.033525694696834,210,64988
13440,1,45.033525694696834,210,67098
13860,1,45.033525694696834,210,69208
14280,1,45.033525694696834,210,71318
14700,1,45.033525694696834,210,73428
15120,1,45.033525694696834,210,75538
15540,1,45.033525694696834,210,77648
15960,1,45.033525694696834,210,79758
16380,1,45.033525694696834,210,81868
16800,1,45.033525694696834,210,83978
17220,1,45.033525694696834,210,86088
17640,1,45.033525694696834,210,88198
18060,1,45.033525694696834,210,90308
18480,1,45.033525694696834,210,92418
18900,1,45.033525694696834,210,94528
19320,1,45.033525694696834,210,96638
19740,1,45.033525694696834,210,98748
20160,1,45.033525694696834,210,100858
20580,1,45.033525694696834,210,102968
21000,1,45.033525694696834,210,105078
21420,1,45.033525694696834,210,107188
21840,1,45.033525694696834,210,109298
22260,1,45.033525694696834,210,111408
22680,1,45.033525694696834,210,113518
23100,1,45.033525694696834,210,115628
23520,1,45.033525694696834,210,117738
23940,1,45.033525694696834,210,119848
24360,1,45.033525694696834,210,121958
24780,1,45.033525694696834,210,124068
25200,1,45.033525694696834,210,126178
25620,1,45.033525694696834,210,128288
26040,1,45.033525694696834,210,130398
26460,1,45.033525694696834,210,132508
26880,1,45.033525694696834,210,134618
27300,1,45.033525694696834,210,136728
27720,1,45.033525694696834,210,138838
28140,1,45.033525694696834,210,140948
28560,1,45.033525694696834,210,143058
28980,1,45.033525694696834,210,145168
29400,1,45.033525694696834,210,147278
29820,1,45.033525694696834,210,149388
30240,1,45.033525694696834,210,151498
30660,1,45.033525694696834,210,153608
31080,1,45.033525694696834,210,155718
31500,1,45.033525694696834,210,157828
31920,1,45.033525694696834,210,159938
32340,1,45.033525694696834,210,162048
32760,1,45.033525694696834,210,164158
33180,1,45.033525694696834,210,166268
33600,1,45.033525694696834,210,168378
34020,1,45.033525694696834,210,170488
34440,1,45.033525694696834,210,172598
34860,1,45.033525694696834,210,174708
35280,1,45.033525694696834,210,176818
35700,1,45.033525694696834,210,178928
36120,1,45.033525694696834,210,181038
36540,1,45.033525694696834,210,183148
36960,1,45.033525694696834,210,185258
37380,1,45.033525694696834,210,187368
37800,1,45.033525694696834,210,189478
38220,1,45.033525694696834,210,191588
38640,1,45.033525694696834,210,193698
39060,1,45.033525694696834,210,195808
39480,1,45.033525694696834,210,197918
39900,1,45.033525694696834,210,200028
40320,1,45.033525694696834,210,202138
40740,1,45.033525694696834,210,204248
41160,1,45.033525694696834,210,206358
41580,1,45.033525694696834,210,208468
42000,1,45.033525694696834,210,210578
42420,1,45.033525694696834,210,212688
42840,1,45.033525694696834,210,214798
43260,1,45.033525694696834,210,216908
43680,1,45.033525694696834,210,219018
44100,1,45.033525694696834,210,221128
44520,1,45.033525694696834,210,223238
44940,1,45.033525694696834,210,225348
45360,1,45.033525694696834,210,227458
45780,1,45.033525694696834,210,229568
46200,1,45.033525694696834,210,231678
46620,1,45.033525694696834,210,233788
47040,1,45.033525694696834,210,235898
47460,1,45.033525694696834,210,238008
47880,1,45.033525694696834,210,240118
48300,1,45.033525694696834,210,242228
