Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.4901161193847656e-08,38.0,0,0
50,1.4901161193847656e-08,40.0,25,2072
100,1.4901161193847656e-08,57.0,25,4236
150,1.4901161193847656e-08,87.0,25,7364
200,1.4901161193847656e-08,87.0,25,14294
250,1.4901161193847656e-08,87.0,25,21345
300,1.4901161193847656e-08,87.0,25,28359
350,1.4901161193847656e-08,91.0,25,32811
400,1.4901161193847656e-08,94.0,25,37919
450,1.4901161193847656e-08,100.0,25,42676
500,1.4901161193847656e-08,105.0,25,48002
550,1.4901161193847656e-08,294.0,25,53792
600,1.4901161193847656e-08,401.0,25,69548
650,1.4901161193847656e-08,1000.0,25,89461
700,1.4901161193847656e-08,1000.0,25,154156
750,1.4901161193847656e-08,1000.0,25,219810
800,1.4901161193847656e-08,1000.0,25,286876
850,1.4901161193847656e-08,1000.0,25,346706
900,1.4901161193847656e-08,1000.0,25,416602
950,1.4901161193847656e-08,1000.0,25,482367
1000,1.4901161193847656e-08,1000.0,25,547523
1050,1.4901161193847656e-08,1000.0,25,611412
1100,1.4901161193847656e-08,1000.0,25,675681
1150,1.4901161193847656e-08,1000.0,25,740404
1200,1.4901161193847656e-08,1000.0,25,808002
1250,1.4901161193847656e-08,1000.0,25,871787
1300,1.4901161193847656e-08,1000.0,25,937506
1350,1.4901161193847656e-08,1000.0,25,1001384
1400,1.4901161193847656e-08,1000.0,25,1067611
1450,1.4901161193847656e-08,1000.0,25,1133012
1500,1.4901161193847656e-08,1000.0,25,1199788
1550,1.4901161193847656e-08,1000.0,25,1262015
1600,1.4901161193847656e-08,1000.0,25,1329995
1650,1.4901161193847656e-08,1000.0,25,1391996
1700,1.4901161193847656e-08,1000.0,25,1457389
1750,1.4901161193847656e-08,256.0,25,1522154
1800,1.4901161193847656e-08,1000.0,25,1563019
1850,1.4901161193847656e-08,1000.0,25,1627475
1900,1.4901161193847656e-08,1000.0,25,1693973
1950,1.4901161193847656e-08,1000.0,25,1755007
2000,1.4901161193847656e-08,1000.0,25,1823372
2050,1.4901161193847656e-08,1000.0,25,1888468
2100,1.4901161193847656e-08,1000.0,25,1954919
2150,1.4901161193847656e-08,1000.0,25,2019397
2200,1.4901161193847656e-08,1000.0,25,2084741
2250,1.4901161193847656e-08,1000.0,25,2149144
2300,1.4901161193847656e-08,1000.0,25,2213422
2350,1.4901161193847656e-08,1000.0,25,2279206
2400,1.4901161193847656e-08,1000.0,25,2346467
2450,1.4901161193847656e-08,1000.0,25,2411276
2500,1.4901161193847656e-08,1000.0,25,2478015
2550,1.4901161193847656e-08,1000.0,25,2539731
2600,1.4901161193847656e-08,1000.0,25,2601659
