Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.4551915228366852e-11,20.0,0,0
16,1.4551915228366852e-11,43.0,8,358
32,1.4551915228366852e-11,50.0,8,1134
48,1.4551915228366852e-11,55.0,8,2130
64,1.4551915228366852e-11,55.0,8,4761
80,1.4551915228366852e-11,55.0,8,7618
96,1.4551915228366852e-11,60.0,8,8867
112,1.4551915228366852e-11,61.0,8,10527
128,1.4551915228366852e-11,62.0,8,12212
144,1.4551915228366852e-11,62.0,8,15151
160,1.4551915228366852e-11,62.0,8,18130
176,1.4551915228366852e-11,62.0,8,21043
192,1.4551915228366852e-11,62.0,8,23891
208,1.4551915228366852e-11,62.0,8,26681
224,1.4551915228366852e-11,62.0,8,29489
240,1.4551915228366852e-11,62.0,8,32370
256,1.4551915228366852e-11,67.0,8,33662
272,1.4551915228366852e-11,67.0,8,36512
288,1.4551915228366852e-11,68.0,8,38389
304,1.4551915228366852e-11,68.0,8,40982
320,1.4551915228366852e-11,68.0,8,44091
336,1.4551915228366852e-11,68.0,8,46768
352,1.4551915228366852e-11,68.0,8,49863
