Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
0,0.05,20.0,0,0,1
392,0.05,17.0,196,6758,1
784,0.05,21.0,196,13082,1
1176,0.05,16.0,196,19361,1
1568,0.05,20.0,196,25112,1
1960,0.05,18.0,196,31104,1
2352,0.05,17.0,196,36813,1
2744,0.05,21.0,196,42994,1
3136,0.05,33.0,196,49384,1
3528,0.05,26.0,196,55808,1
3920,0.05,26.0,196,62349,1
4312,0.05,32.0,196,69168,1
4704,0.05,51.0,196,76344,1
5096,0.05,54.0,196,84171,1
5488,0.05,58.0,196,92785,1
5880,0.05,55.0,196,102399,1
6272,0.05,80.0,196,113818,1
6664,0.05,78.0,196,127780,1
7056,0.05,79.0,196,145000,1
7448,0.05,103.0,196,165632,1
7840,0.05,99.0,196,189345,1
8232,0.05,94.0,196,215589,1
8624,0.05,90.0,196,242060,1
9016,0.05,91.0,196,269920,1
9408,0.05,118.0,196,298544,1
9800,0.05,147.0,196,331375,1
10192,0.05,202.0,196,368606,1
10584,0.05,226.0,196,412917,1
10976,0.05,290.0,196,459693,1
11368,0.05,291.0,196,507038,1
11760,0.05,404.0,196,555411,1
12152,0.05,352.0,196,608982,1
12544,0.05,463.0,196,672613,1
12936,0.05,1000.0,196,762536,1
13328,0.05,1000.0,196,875650,1
13720,0.05,1000.0,196,1055382,1
14112,0.05,1000.0,196,1242336,1
14504,0.05,1000.0,196,1444002,1
