Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.4551915228366852e-11,5.0,0,0
392,1.4551915228366852e-11,6.0,196,2054
784,1.4551915228366852e-11,12.0,196,4419
1176,1.4551915228366852e-11,15.0,196,13982
1568,1.4551915228366852e-11,53.0,196,24492
1960,1.4551915228366852e-11,80.0,196,40674
2352,1.4551915228366852e-11,87.0,196,58194
2744,1.4551915228366852e-11,91.0,196,77467
3136,1.4551915228366852e-11,91.0,196,97368
3528,1.4551915228366852e-11,93.0,196,115999
3920,1.4551915228366852e-11,93.0,196,135718
4312,1.4551915228366852e-11,107.0,196,154483
4704,1.4551915228366852e-11,137.0,196,179844
5096,1.4551915228366852e-11,166.0,196,215317
5488,1.4551915228366852e-11,173.0,196,262139
5880,1.4551915228366852e-11,338.0,196,311248
6272,1.4551915228366852e-11,1000.0,196,416349
6664,1.4551915228366852e-11,1000.0,196,589184
7056,1.4551915228366852e-11,1000.0,196,760508
