Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
88,0.05,-200.85310936051087,44,88000,1.0
176,0.05,-198.26198903949432,44,176000,1.0
264,0.05,-125.8398264428101,44,264000,1.0
352,0.05,-190.5520988066311,44,352000,1.0
440,0.05,-212.5591428472101,44,440000,1.0
528,0.05,-243.8646876715641,44,528000,1.0
616,0.05,-297.26268381149856,44,616000,1.0
704,0.05,-319.8572511569691,44,704000,1.0
792,0.05,-314.9241439435677,44,792000,1.0
880,0.05,-333.5500910260149,44,880000,1.0
968,0.05,-249.12252496412282,44,968000,1.0
1056,0.05,-279.3321820689706,44,1056000,1.0
1144,0.05,-248.8429287781371,44,1144000,1.0
1232,0.05,-229.96135829401769,44,1232000,1.0
1320,0.05,-225.8522871877328,44,1320000,1.0
1408,0.05,-227.23083608837766,44,1408000,1.0
1496,0.05,-232.0005795596921,44,1496000,1.0
1584,0.05,-238.9689794224496,44,1584000,1.0
1672,0.05,-242.5416531469597,44,1672000,1.0
1760,0.05,-243.6360071013869,44,1760000,1.0
1848,0.05,-247.22040622472488,44,1848000,0.5586204397317772
1882,0.05,-254.36050414461846,17,1882000,0.30216638514611754
1916,0.05,-264.56387842142993,17,1916000,0.13969629891157886
1950,0.05,-277.7006675413827,17,1950000,0.42708668512328146
1986,0.05,-295.0236923134435,18,1986000,0.2627290712474099
2022,0.05,-306.3937284169659,18,2022000,0.2559353758671785
2058,0.05,-315.09786660882463,18,2058000,0.3783601847113718
2094,0.05,-325.229773315292,18,2094000,0.24993686563835518
2130,0.05,-329.87943965270614,18,2130000,0.050274204127642955
2166,0.05,-335.8567121147225,18,2166000,0.34047345030928455
2204,0.05,-345.763301675661,19,2204000,0.24291410731516772
2242,0.05,-359.33791501220855,19,2242000,0.24587813768322242
2280,0.05,-374.6440136155621,19,2280000,0.24595952702706564
2318,0.05,-384.29238709033234,19,2318000,0.14140902489632748
2356,0.05,-404.56347856186267,19,2356000,0.23369131990055508
2394,0.05,-423.5139389304721,19,2394000,0.08770456952993536
2432,0.05,-427.7670752429092,19,2432000,0.22473702032587448
2472,0.05,-424.5476179807925,20,2472000,0.1875232028380446
2512,0.05,-422.68200535173185,20,2512000,0.17027243266944475
2552,0.05,-415.6588134893329,20,2552000,0.09744334126766968
2592,0.05,-402.0392260532102,20,2592000,0.13859397279473484
2632,0.05,-381.03622443004457,20,2632000,0.14209569230624947
2672,0.05,-358.0503333944074,20,2672000,0.2415237017247326
2712,0.05,-336.55346780923054,20,2712000,0.1307414909243632
2752,0.05,-314.71263264717186,20,2752000,0.11356739681907169
2792,0.05,-292.4406596333056,20,2792000,0.15266495778505518
2832,0.05,-274.40931297389966,20,2832000,0.14983273348356993
2872,0.05,-253.29677703533463,20,2872000,0.21763799139353734
2912,0.05,-227.2382971123954,20,2912000,0.023635514595830798
2952,0.05,-205.32516753656049,20,2952000,0.12741723278171693
2992,0.05,-202.30058731476558,20,2992000,0.08578754833514857
3032,0.05,-202.97260327076444,20,3032000,0.11718793270040778
3072,0.05,-197.3251967977243,20,3072000,0.18942908698143457
3112,0.05,-183.05168000101753,20,3112000,0.16796419076790525
3152,0.05,-170.54866717521722,20,3152000,0.07674476676678442
3192,0.05,-162.26241644533985,20,3192000,0.15640081344499054
3232,0.05,-160.0032384199532,20,3232000,0.1267409611198072
3272,0.05,-174.75003668192102,20,3272000,0.2014103961089835
3312,0.05,-136.66274871043592,20,3312000,0.26650253462660756
3354,0.05,-134.2338737013961,21,3354000,0.2104025700893439
3396,0.05,-132.71075364156926,21,3396000,0.18042908446453984
3438,0.05,-130.3822470706,21,3438000,0.006307953284867939
3480,0.05,-128.21443223201143,21,3480000,0.3644955368410999
3522,0.05,-126.02669320642812,21,3522000,0.02794194482348548
3564,0.05,-125.41651322839752,21,3564000,0.08026521770811773
3606,0.05,-124.97494751848664,21,3606000,0.07504508629039926
3648,0.05,-125.43805600666289,21,3648000,0.0021606036743305654
3690,0.05,-127.45720509624424,21,3690000,0.12600955190294202
3732,0.05,-131.42611450597082,21,3732000,0.004309839771536996
3774,0.05,-134.2390059805767,21,3774000,0.011226663014924816
3816,0.05,-135.75944039051998,21,3816000,0.030246652765718484
3858,0.05,-136.51597777861303,21,3858000,0.1306414188551013
3900,0.05,-135.83810606933275,21,3900000,0.08807599211173109
3942,0.05,-136.29171128596434,21,3942000,0.01573727020999095
3984,0.05,-136.8208836737458,21,3984000,0.1679561339536972
4026,0.05,-137.63950645497613,21,4026000,0.027809484219341544
4068,0.05,-138.45604928966722,21,4068000,0.0287361561039478
4110,0.05,-138.79200953183138,21,4110000,0.17807557916708866
4152,0.05,-139.41903949135622,21,4152000,0.04177430328488322
4194,0.05,-138.86070645558462,21,4194000,0.14123291212398867
4236,0.05,-137.49449706920004,21,4236000,0.153012015122641
4278,0.05,-137.24892084512754,21,4278000,0.047311662754059236
4320,0.05,-138.65926271266596,21,4320000,0.11014847753898761
4362,0.05,-139.44327153935387,21,4362000,0.03701322881888167
4404,0.05,-139.62457294594992,21,4404000,0.10262284291622642
4446,0.05,-139.65339026515642,21,4446000,0.0035573165304020626
4488,0.05,-139.88319370288627,21,4488000,0.021399641999917746
4530,0.05,-140.6854076898986,21,4530000,0.029697512517130722
4572,0.05,-141.84043844000226,21,4572000,0.03912281443451207
4614,0.05,-142.0458476037599,21,4614000,0.02901041463125082
4656,0.05,-145.72049641966132,21,4656000,0.08689508295757377
4698,0.05,-149.59316760158885,21,4698000,0.05978906967350795
4740,0.05,-159.0108543803853,21,4740000,0.30556637824226734
4782,0.05,-167.27567403819486,21,4782000,0.08302965478122522
4824,0.05,-167.27159344722247,21,4824000,0.07158104365551186
4866,0.05,-169.8061758385347,21,4866000,0.09191720757149892
4908,0.05,-172.74413136669688,21,4908000,0.08540441566644787
4950,0.05,-173.30348884814788,21,4950000,0.01256827290994242
4992,0.05,-171.5645234179799,21,4992000,0.10018275067854873
5034,0.05,-171.21160229278775,21,5034000,0.20099349102349306
5076,0.05,-184.0613415649157,21,5076000,0.1500022403813755
5118,0.05,-169.65094354641369,21,5118000,0.10066963843427329
5160,0.05,-163.78776713791848,21,5160000,0.06120513710036739
5202,0.05,-159.07426063096983,21,5202000,0.11884935925168055
5244,0.05,-151.64962691540342,21,5244000,0.036490705941452165
5286,0.05,-146.62860609561804,21,5286000,0.32562227190422843
5330,0.05,-143.26783644684667,22,5330000,0.0
5374,0.05,-140.78838564164295,22,5374000,0.0
5418,0.05,-138.09951015040812,22,5418000,0.0
5462,0.05,-137.33089835280055,22,5462000,0.0
5506,0.05,-137.08126606482912,22,5506000,0.0
5550,0.05,-138.49938098708415,22,5550000,0.0
5594,0.05,-139.98261453430496,22,5594000,0.0
