Rollouts,Learning Rate,Reward,Samples,Timesteps
0,4.656612873077393e-11,-2171.075526718346,0,0
132,4.656612873077393e-11,-837.246416401264,66,134000
264,4.656612873077393e-11,-342.63457788827486,66,268000
396,4.656612873077393e-11,-279.1848671828567,66,402000
528,4.656612873077393e-11,-256.61936412510914,66,537000
660,4.656612873077393e-11,-177.09267998253867,66,671000
792,4.656612873077393e-11,-177.09267998253867,66,835000
924,4.656612873077393e-11,-104.62064027320314,66,969000
1056,4.656612873077393e-11,-73.06240319123931,66,1103000
1188,4.656612873077393e-11,-73.06240319123931,66,1267000
1320,4.656612873077393e-11,-73.06240319123931,66,1431000
1452,4.656612873077393e-11,-67.54262894612712,66,1565000
1584,4.656612873077393e-11,-32.89764835969586,66,1700000
1716,4.656612873077393e-11,-32.37688133935589,66,1837000
1848,4.656612873077393e-11,-32.37688133935589,66,2001000
1980,4.656612873077393e-11,-32.37688133935589,66,2165000
2112,4.656612873077393e-11,-32.37688133935589,66,2329000
2244,4.656612873077393e-11,-32.24839063181769,66,2466000
2376,4.656612873077393e-11,-32.24839063181769,66,2630000
2508,4.656612873077393e-11,-32.23871783461233,66,2769000
2640,4.656612873077393e-11,-32.23871783461233,66,2933000
2772,4.656612873077393e-11,-31.479976703596204,66,3069000
2904,4.656612873077393e-11,-31.479976703596204,66,3233000
3036,4.656612873077393e-11,-31.479976703596204,66,3397000
3168,4.656612873077393e-11,-30.929310919708,66,3533000
3300,4.656612873077393e-11,-30.929310919708,66,3697000
3432,4.656612873077393e-11,-30.75493386031152,66,3835000
3564,4.656612873077393e-11,-30.733573043061764,66,3972000
3696,4.656612873077393e-11,-30.29073946309645,66,4109000
3828,4.656612873077393e-11,-30.268398466141228,66,4248000
3960,4.656612873077393e-11,-30.249558174085468,66,4384000
4092,4.656612873077393e-11,-30.249558174085468,66,4548000
4224,4.656612873077393e-11,-30.248523675896386,66,4689000
4356,4.656612873077393e-11,-30.248523675896386,66,4853000
4488,4.656612873077393e-11,-30.248523675896386,66,5017000
4620,4.656612873077393e-11,-30.248523675896386,66,5181000
4752,4.656612873077393e-11,-30.19547620082217,66,5319000
4884,4.656612873077393e-11,-30.19547620082217,66,5483000
5016,4.656612873077393e-11,-30.19547620082217,66,5647000
5148,4.656612873077393e-11,-29.741995277575842,66,5782000
5280,4.656612873077393e-11,-29.741995277575842,66,5946000
5412,4.656612873077393e-11,-29.61820291229663,66,6084000
5544,4.656612873077393e-11,-29.61820291229663,66,6248000
5676,4.656612873077393e-11,-29.61820291229663,66,6412000
5808,4.656612873077393e-11,-29.61820291229663,66,6576000
5940,4.656612873077393e-11,-29.609496457161534,66,6712000
6072,4.656612873077393e-11,-29.606628417254015,66,6852000
6204,4.656612873077393e-11,-29.606628417254015,66,7016000
6336,4.656612873077393e-11,-27.913687893192385,66,7153000
6468,4.656612873077393e-11,-27.86075907208472,66,7291000
6600,4.656612873077393e-11,-27.86075907208472,66,7455000
6732,4.656612873077393e-11,-27.86075907208472,66,7619000
6864,4.656612873077393e-11,-27.86075907208472,66,7783000
6996,4.656612873077393e-11,-27.86075907208472,66,7947000
7128,4.656612873077393e-11,-27.86075907208472,66,8111000
7260,4.656612873077393e-11,-27.86075907208472,66,8275000
7392,4.656612873077393e-11,-27.86075907208472,66,8439000
7524,4.656612873077393e-11,-27.86075907208472,66,8603000
7656,4.656612873077393e-11,-27.86075907208472,66,8767000
7788,4.656612873077393e-11,-27.82857119308204,66,8906000
7920,4.656612873077393e-11,-27.82857119308204,66,9070000
8052,4.656612873077393e-11,-26.982983240276162,66,9205000
8184,4.656612873077393e-11,-26.982983240276162,66,9369000
8316,4.656612873077393e-11,-25.827634700104817,66,9505000
8448,4.656612873077393e-11,-21.75578959776108,66,9640000
8580,4.656612873077393e-11,-21.75578959776108,66,9804000
8712,4.656612873077393e-11,-21.75578959776108,66,9968000
8844,4.656612873077393e-11,-21.75578959776108,66,10132000
8976,4.656612873077393e-11,-21.75578959776108,66,10296000
9108,4.656612873077393e-11,-21.75578959776108,66,10460000
9240,4.656612873077393e-11,-21.75578959776108,66,10624000
9372,4.656612873077393e-11,-21.75578959776108,66,10788000
9504,4.656612873077393e-11,-21.75578959776108,66,10952000
9636,4.656612873077393e-11,-21.75578959776108,66,11116000
9768,4.656612873077393e-11,-21.75578959776108,66,11280000
9900,4.656612873077393e-11,-21.75578959776108,66,11444000
10032,4.656612873077393e-11,-21.75578959776108,66,11608000
10164,4.656612873077393e-11,-21.75578959776108,66,11772000
