Rollouts,Learning Rate,Reward,Samples,Timesteps
0,6.103515625e-05,-2171.075526718346,0,0
88,6.103515625e-05,-301.9780984694113,44,90000
176,6.103515625e-05,-289.55346245040704,44,188000
264,6.103515625e-05,-209.3781995553454,44,282000
352,6.103515625e-05,-204.4909945297554,44,375000
440,6.103515625e-05,-127.83407176303432,44,468000
528,6.103515625e-05,-47.50202255887209,44,560000
616,6.103515625e-05,-43.274481461733934,44,653000
704,6.103515625e-05,-43.272789575707485,44,756000
792,6.103515625e-05,-17.83958876737082,44,851000
880,6.103515625e-05,-17.384932420273284,44,947000
968,6.103515625e-05,-17.342896287445782,44,1046000
1056,6.103515625e-05,-17.342896287445782,44,1191000
1144,6.103515625e-05,-17.116564975946883,44,1289000
1232,6.103515625e-05,-17.09295972876881,44,1386000
1320,6.103515625e-05,-17.09295972876881,44,1525000
1408,6.103515625e-05,-16.01343372660418,44,1618000
1496,6.103515625e-05,-11.88771693582603,44,1713000
1584,6.103515625e-05,-11.177808995346233,44,1810000
1672,6.103515625e-05,-11.177808995346233,44,1953000
1760,6.103515625e-05,-11.112436267739277,44,2050000
1848,6.103515625e-05,-11.11243626773928,44,2207000
1936,6.103515625e-05,-11.07696994054571,44,2307000
2024,6.103515625e-05,-11.07696994054572,44,2464000
2112,6.103515625e-05,-10.578183407233997,44,2558000
2200,6.103515625e-05,-10.578183407233995,44,2705000
2288,6.103515625e-05,-10.578183407233992,44,2848000
2376,6.103515625e-05,-8.375574032731912,44,2944000
2464,6.103515625e-05,-8.37557403273191,44,3087000
2552,6.103515625e-05,-8.23833755112239,44,3185000
2640,6.103515625e-05,-8.23833755112239,44,3327000
2728,6.103515625e-05,-8.216865380556158,44,3424000
2816,6.103515625e-05,-8.21686538055615,44,3568000
2904,6.103515625e-05,-8.216865380556145,44,3711000
2992,6.103515625e-05,-8.115880871141938,44,3809000
3080,6.103515625e-05,-7.986213764235467,44,3907000
3168,6.103515625e-05,-7.836812189325913,44,4005000
3256,6.103515625e-05,-7.836812189325912,44,4150000
3344,6.103515625e-05,-7.836812189325912,44,4293000
3432,6.103515625e-05,-7.8357373783628415,44,4397000
3520,6.103515625e-05,-7.835460822213864,44,4499000
3608,6.103515625e-05,-7.835460822213864,44,4641000
3696,6.103515625e-05,-7.8199921879305085,44,4739000
3784,6.103515625e-05,-7.8130750781647675,44,4840000
3872,6.103515625e-05,-7.813075078164683,44,4975000
3960,6.103515625e-05,-7.760013007419021,44,5076000
4048,6.103515625e-05,-7.760013007419012,44,5216000
4136,6.103515625e-05,-7.760013007419012,44,5358000
4224,6.103515625e-05,-7.740306834833775,44,5460000
4312,6.103515625e-05,-7.739572114517845,44,5564000
4400,6.103515625e-05,-7.739130858432435,44,5667000
4488,6.103515625e-05,-7.733839685720078,44,5771000
