Rollouts,Learning Rate,Reward,Samples,Timesteps
0,7.450580596923828e-09,-2171.075526718346,0,0
88,7.450580596923828e-09,-2014.8528960736112,44,91000
176,7.450580596923828e-09,-2001.8020703784318,44,183000
264,7.450580596923828e-09,-1658.3845944874672,44,278000
352,7.450580596923828e-09,-1657.4999281453397,44,380000
440,7.450580596923828e-09,-1645.9632410628985,44,476000
528,7.450580596923828e-09,-1607.9574724149768,44,570000
616,7.450580596923828e-09,-1605.5987882934517,44,674000
704,7.450580596923828e-09,-1601.3266614716767,44,784000
792,7.450580596923828e-09,-1598.4563429951531,44,884000
880,7.450580596923828e-09,-1578.2166335765855,44,988000
968,7.450580596923828e-09,-1570.587550491005,44,1105000
