Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.3877787807814457e-17,-2166.2538070234455,0,0
88,1.3877787807814457e-17,-1168.1096085101651,44,90000
176,1.3877787807814457e-17,-547.564595137289,44,181000
264,1.3877787807814457e-17,-188.604197810596,44,273000
352,1.3877787807814457e-17,-183.00661581043335,44,366000
440,1.3877787807814457e-17,-181.74160075209517,44,460000
528,1.3877787807814457e-17,-178.94884666704624,44,554000
616,1.3877787807814457e-17,-177.63552999533775,44,649000
704,1.3877787807814457e-17,-175.6444641282566,44,743000
792,1.3877787807814457e-17,-164.38190557364416,44,838000
880,1.3877787807814457e-17,-162.81227061702518,44,935000
968,1.3877787807814457e-17,-136.6907403054414,44,1027000
1056,1.3877787807814457e-17,-136.69074030544135,44,1145000
1144,1.3877787807814457e-17,-136.69074030544107,44,1263000
1232,1.3877787807814457e-17,-136.69074030544138,44,1387000
1320,1.3877787807814457e-17,-136.6907403054415,44,1511000
1408,1.3877787807814457e-17,-130.08933477914547,44,1604000
1496,1.3877787807814457e-17,-129.58621593857794,44,1698000
1584,1.3877787807814457e-17,-113.33105740224617,44,1791000
1672,1.3877787807814457e-17,-106.10196736059115,44,1883000
1760,1.3877787807814457e-17,-106.10196736059116,44,2007000
1848,1.3877787807814457e-17,-106.10196736059116,44,2125000
1936,1.3877787807814457e-17,-106.10196736059116,44,2242000
2024,1.3877787807814457e-17,-106.10196736059115,44,2360000
2112,1.3877787807814457e-17,-106.10196736059116,44,2484000
2200,1.3877787807814457e-17,-106.10196736059116,44,2601000
2288,1.3877787807814457e-17,-106.10196736059113,44,2718000
2376,1.3877787807814457e-17,-99.95067031326016,44,2810000
2464,1.3877787807814457e-17,-75.22256699864968,44,2902000
2552,1.3877787807814457e-17,-75.22256699864968,44,3018000
2640,1.3877787807814457e-17,-69.3075152964874,44,3111000
2728,1.3877787807814457e-17,-63.93066623443693,44,3203000
2816,1.3877787807814457e-17,-63.93066623443692,44,3320000
2904,1.3877787807814457e-17,-63.930666234436934,44,3444000
2992,1.3877787807814457e-17,-63.930666234436934,44,3562000
3080,1.3877787807814457e-17,-63.93066623443693,44,3679000
3168,1.3877787807814457e-17,-63.147649612130444,44,3772000
3256,1.3877787807814457e-17,-61.75326120045256,44,3865000
3344,1.3877787807814457e-17,-61.75326120045258,44,3989000
3432,1.3877787807814457e-17,-61.7126806116677,44,4084000
3520,1.3877787807814457e-17,-59.68326520796576,44,4176000
3608,1.3877787807814457e-17,-51.65589622559611,44,4269000
3696,1.3877787807814457e-17,-49.36739320065906,44,4362000
3784,1.3877787807814457e-17,-49.367393200659066,44,4486000
3872,1.3877787807814457e-17,-49.36739320065906,44,4604000
3960,1.3877787807814457e-17,-49.36739320065906,44,4722000
4048,1.3877787807814457e-17,-49.36739320065905,44,4839000
4136,1.3877787807814457e-17,-49.36739320065902,44,4956000
4224,1.3877787807814457e-17,-38.565697689435396,44,5049000
4312,1.3877787807814457e-17,-37.64837342211031,44,5143000
4400,1.3877787807814457e-17,-36.90315619298108,44,5237000
4488,1.3877787807814457e-17,-35.21277573075555,44,5331000
4576,1.3877787807814457e-17,-30.743745485751138,44,5423000
4664,1.3877787807814457e-17,-29.879880653137135,44,5516000
4752,1.3877787807814457e-17,-29.87988065313715,44,5640000
4840,1.3877787807814457e-17,-29.87988065313715,44,5758000
4928,1.3877787807814457e-17,-29.879880653137157,44,5882000
5016,1.3877787807814457e-17,-29.879880653137153,44,6000000
5104,1.3877787807814457e-17,-29.87988065313715,44,6119000
5192,1.3877787807814457e-17,-25.19625936262761,44,6212000
5280,1.3877787807814457e-17,-25.196259362627607,44,6330000
5368,1.3877787807814457e-17,-25.196259362627618,44,6454000
5456,1.3877787807814457e-17,-25.1962593626276,44,6571000
5544,1.3877787807814457e-17,-25.1962593626276,44,6688000
5632,1.3877787807814457e-17,-25.196259362627593,44,6805000
5720,1.3877787807814457e-17,-23.930047072599642,44,6898000
5808,1.3877787807814457e-17,-23.930047072599624,44,7016000
5896,1.3877787807814457e-17,-23.930047072599624,44,7135000
5984,1.3877787807814457e-17,-23.628313583936023,44,7229000
6072,1.3877787807814457e-17,-23.6283135839361,44,7353000
6160,1.3877787807814457e-17,-22.98307935760036,44,7448000
6248,1.3877787807814457e-17,-22.983079357600374,44,7572000
6336,1.3877787807814457e-17,-22.9830793576004,44,7696000
6424,1.3877787807814457e-17,-22.9830793576004,44,7814000
6512,1.3877787807814457e-17,-22.98307935760038,44,7931000
6600,1.3877787807814457e-17,-22.98307935760044,44,8055000
6688,1.3877787807814457e-17,-22.980104372509484,44,8152000
6776,1.3877787807814457e-17,-22.922038456517377,44,8247000
6864,1.3877787807814457e-17,-22.87031414262827,44,8340000
6952,1.3877787807814457e-17,-20.3641029461733,44,8434000
7040,1.3877787807814457e-17,-20.068058039222,44,8528000
7128,1.3877787807814457e-17,-20.06805803922199,44,8646000
