Rollouts,Learning Rate,Reward,Samples,Timesteps,Alpha
250,0.05,1.906527758643456,125,250000,1.0
500,0.05,2.1723568435958494,125,500000,1.0
750,0.05,81.17507308074948,125,750000,1.0
1000,0.05,208.20266881628578,125,1000000,1.0
1250,0.05,222.04433077745725,125,1250000,1.0
1500,0.05,242.06058805213564,125,1500000,1.0
1750,0.05,267.32685556369887,125,1750000,1.0
2000,0.05,299.4641439847969,125,2000000,1.0
2250,0.05,323.09667018379906,125,2250000,1.0
2500,0.05,339.08258137824816,125,2500000,1.0
2750,0.05,350.74489105234875,125,2750000,1.0
3000,0.05,357.05580861750695,125,3000000,1.0
3250,0.05,363.20018111339596,125,3250000,1.0
3500,0.05,365.06581855972746,125,3500000,1.0
3750,0.05,364.7871999702843,125,3750000,1.0
4000,0.05,361.6590045207903,125,4000000,0.5640450664308921
4024,0.05,361.1256988243209,12,4024000,0.3523018415399347
4050,0.05,361.78547316086417,13,4050000,0.16489110232328485
4076,0.05,358.987933681777,13,4076000,0.3340581527249947
4102,0.05,359.98714579576983,13,4102000,0.23375517360956352
4128,0.05,353.5379776205257,13,4128000,0.13731363749896947
4154,0.05,360.1816365850905,13,4154000,0.2853784982808197
4180,0.05,358.1255964478418,13,4180000,0.37752661562025663
4206,0.05,358.290547623915,13,4206000,0.5960187898263565
4232,0.05,358.2654525872965,13,4232000,0.5012988446751272
4258,0.05,358.4579869453286,13,4258000,0.3589457492099657
4284,0.05,348.5100260823376,13,4284000,0.3623236674174706
4310,0.05,356.3471541913639,13,4310000,0.19188883157649514
4336,0.05,357.3983065547339,13,4336000,0.2238840283235529
4362,0.05,359.47104200080736,13,4362000,0.36049631231905455
4388,0.05,360.22287136708525,13,4388000,0.23568239449516534
4414,0.05,361.29127306568523,13,4414000,0.2626537645546806
4440,0.05,353.30561400765055,13,4440000,0.3026900383860453
4466,0.05,357.3216665891656,13,4466000,0.44328384495451134
4492,0.05,358.24156864660785,13,4492000,0.28234457590561207
4518,0.05,358.19170641126726,13,4518000,0.5139113988064425
4544,0.05,358.4329854683776,13,4544000,0.3946881307505776
4570,0.05,359.62135383553203,13,4570000,0.3244323035505803
4596,0.05,357.74272605912427,13,4596000,0.11572770672113611
4622,0.05,357.8069991245613,13,4622000,0.46425591935916355
4648,0.05,363.07001398900474,13,4648000,0.5903785322170512
4674,0.05,360.80441469629517,13,4674000,0.16764436236525307
4700,0.05,359.7815572323888,13,4700000,0.32448556099412573
4726,0.05,359.7078290715244,13,4726000,0.17834393392412365
4752,0.05,359.98138047051077,13,4752000,0.3544285783155389
4778,0.05,359.85901374037763,13,4778000,0.21098422224001817
