Rollouts,Learning Rate,Reward,Samples,Timesteps
0,0.0625,15.782031544737228,0,0
250,0.0625,54.6082721703714,125,252000
500,0.0625,70.47852678219613,125,504000
750,0.0625,114.1001845301453,125,758000
1000,0.0625,263.0287989159977,125,1010000
1250,0.0625,325.963083944597,125,1266000
1500,0.0625,331.85910990018704,125,1522000
1750,0.0625,332.1916875427907,125,1779000
2000,0.0625,335.7227848196569,125,2034000
2250,0.0625,340.223043043304,125,2294000
2500,0.0625,341.85467252830597,125,2555000
2750,0.0625,291.0735995703741,125,2837000
3000,0.0625,302.16410530193593,125,3092000
3250,0.0625,306.3053354303073,125,3348000
3500,0.0625,315.05359941976786,125,3605000
3750,0.0625,346.19299575515737,125,3862000
4000,0.0625,346.6225831814691,125,4128000
4250,0.0625,347.9065904703978,125,4387000
4500,0.0625,350.13547159898746,125,4645000
4750,0.0625,350.56117008502895,125,4917000
5000,0.0625,350.8511679205799,125,5179000
5250,0.0625,353.72400418490776,125,5444000
5500,0.0625,357.40467087619425,125,5706000
5750,0.0625,349.4613350487311,125,5988000
6000,0.0625,352.79614862815384,125,6261000
6250,0.0625,265.15439059830027,125,6543000
6500,0.0625,276.99957818226557,125,6798000
6750,0.0625,316.6374901294131,125,7054000
7000,0.0625,345.00172336791843,125,7310000
7250,0.0625,347.78644622456505,125,7571000
7500,0.0625,347.90261587604493,125,7848000
7750,0.0625,348.47725234975076,125,8108000
8000,0.0625,344.8281712401973,125,8390000
8250,0.0625,345.7242278081897,125,8651000
8500,0.0625,348.12115059745275,125,8921000
8750,0.0625,311.00151679741055,125,9203000
9000,0.0625,346.4911833964836,125,9458000
9250,0.0625,352.48435943011793,125,9722000
9500,0.0625,353.9040793714783,125,9987000
9750,0.0625,335.93748120571985,125,10269000
10000,0.0625,338.60265942081855,125,10524000
10250,0.0625,341.40892795181514,125,10781000
10500,0.0625,357.34569808023707,125,11038000
10750,0.0625,359.6755357871948,125,11305000
11000,0.0625,364.5748191165054,125,11582000
11250,0.0625,357.32094193517116,125,11864000
11500,0.0625,361.63427673447677,125,12136000
11750,0.0625,348.24355188775723,125,12418000
12000,0.0625,349.53006247108107,125,12674000
12250,0.0625,353.4124141354333,125,12933000
12500,0.0625,357.18649852438415,125,13189000
