Rollouts,Learning Rate,Reward,Samples,Timesteps
0,1.1102230246251565e-16,-14.390197625912094,0,0
64,1.1102230246251565e-16,-6.252251787806966,32,66000
128,1.1102230246251565e-16,10.665710895913646,32,132000
192,1.1102230246251565e-16,19.353689240373157,32,198000
256,1.1102230246251565e-16,35.934576542667706,32,264000
320,1.1102230246251565e-16,39.36621166467524,32,331000
384,1.1102230246251565e-16,146.6274429641215,32,397000
448,1.1102230246251565e-16,206.63059990313056,32,463000
512,1.1102230246251565e-16,287.79099960590605,32,529000
576,1.1102230246251565e-16,292.1812748279315,32,620000
640,1.1102230246251565e-16,294.3941329089254,32,731000
704,1.1102230246251565e-16,283.21811686247514,32,864000
768,1.1102230246251565e-16,286.00791489830806,32,946000
832,1.1102230246251565e-16,286.6140433885097,32,1033000
896,1.1102230246251565e-16,297.3579804333578,32,1127000
960,1.1102230246251565e-16,299.06444552459095,32,1225000
1024,1.1102230246251565e-16,299.06504630673396,32,1333000
1088,1.1102230246251565e-16,300.0747438942763,32,1430000
1152,1.1102230246251565e-16,300.5688156007828,32,1543000
1216,1.1102230246251565e-16,300.8505800672007,32,1655000
1280,1.1102230246251565e-16,301.27608963457874,32,1766000
1344,1.1102230246251565e-16,301.27515621542415,32,1899000
1408,1.1102230246251565e-16,305.43305354106985,32,1965000
1472,1.1102230246251565e-16,309.70515871164486,32,2033000
1536,1.1102230246251565e-16,316.53043494131356,32,2102000
1600,1.1102230246251565e-16,338.6746864789461,32,2169000
1664,1.1102230246251565e-16,342.0945186420874,32,2251000
1728,1.1102230246251565e-16,342.97213354110124,32,2327000
1792,1.1102230246251565e-16,351.8016349045486,32,2393000
1856,1.1102230246251565e-16,354.0780804755312,32,2463000
1920,1.1102230246251565e-16,356.8637958232023,32,2531000
1984,1.1102230246251565e-16,356.87695424996343,32,2608000
2048,1.1102230246251565e-16,359.6873110582171,32,2677000
2112,1.1102230246251565e-16,360.64062240270147,32,2753000
2176,1.1102230246251565e-16,367.0515117049307,32,2821000
2240,1.1102230246251565e-16,367.1149705814636,32,2899000
2304,1.1102230246251565e-16,367.16670477712,32,2972000
2368,1.1102230246251565e-16,367.1685514800483,32,3052000
2432,1.1102230246251565e-16,367.1685514800485,32,3170000
2496,1.1102230246251565e-16,367.16855148004856,32,3289000
